[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT G4 G2 R2 Y1 R1 R3 B1 G2 G3 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 R3 1666
SECOND d3+ Y4 R4 2
FIRST d3- G4 Y4 6
SECOND d2+ G2 Y1 2
FIRST d2- R2 Y2 6
SECOND e2- G3 B1 3
FIRST d1+ G2 R2 7
SECOND e3+ Y1 Y3 2
FIRST e2+ R1 Y3 7
SECOND e4- Y3 B3 2
FIRST e4+ R3 B3 7
SECOND c2+ R3 R3 2
FIRST e1- Y2 B1 7
SECOND c2- R4 G1 2
FIRST e1+ R2 G3 7
SECOND b2+ R3 Y2 2
FIRST c3- B3 Y1 8
SECOND d4+ Y2 B2 2
FIRST b3+ Y3 R4 8
SECOND a3- B1 G4 2
FIRST b3- G3 B1 7
SECOND a2+ B3 G4 1
FIRST f2- B1 G1 7
SECOND b2- B1 G1 2
FIRST f1+ Y1 G1 8
SECOND a3+ B2 B3 1
FIRST f2+ B1 B4 8
SECOND b1+ B3 Y1 1
FIRST f3- G1 B3 7
SECOND d5- Y1 Y4 1
FIRST f1- G1 B2 7
SECOND c5+ Y4 R1 1
FIRST b4- B3 G2 7
SECOND c1+ R1 B4 1
FIRST c6- B4 Y3 7
SECOND c1- B4 G2 1
FIRST a4+ Y3 R1 7
SECOND a2- G1 R1 1
FIRST c5- R4 B4 7
SECOND b5+ R1 R2 1
FIRST b6+ Y4 Y4 7
SECOND c4+ R2 B4 1
FIRST b6- B4 G3 6
SECOND b1- B4 Y3 1
FIRST a5- G3 R3 6
SECOND d5+ Y3 G3 1
FIRST a5+ R3 B2 5
SECOND a1+ G2 B2 1
FIRST a6+ Y4 G4 6
SECOND b4+ B2 R2 1
FIRST a6- G4 Y2 5
SECOND b5- R2 Y2 0
FIRST c4- Y2 R4 5
SECOND e5- Y2 R4 0
FIRST e5+ B2 X0 4
SECOND f4- R4 X0 0
FIRST f5- B2 X0 3
SECOND d6- G4 X0 0
FIRST d6+ R4 X0 3
SECOND e6- G1 X0 0
FIRST e6+ R1 X0 3
SECOND f4+ G3 X0 0
FIRST f5+ G2 X0 2
SECOND f6- G4 X0 0
FINISH
SCOREFIRST 286
SCORESECOND 236
