[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT G4 Y1 R2 Y3 B2 Y4 B4 Y2 R4 B2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 G1 1651
SECOND d3+ Y4 G3 4
FIRST d3- G4 Y2 7
SECOND e3+ Y2 Y3 3
FIRST e4- R2 B2 8
SECOND f3- Y3 Y1 3
FIRST e4+ Y2 G4 9
SECOND e2+ Y1 R1 3
FIRST d4+ B2 G2 9
SECOND d2+ G3 G2 2
FIRST e5- B2 R4 13
SECOND d2- G2 B3 3
FIRST d5- G2 B3 7
SECOND d5+ B4 Y4 2
FIRST f2- G1 B1 7
SECOND e2- Y4 R3 2
FIRST f1+ Y1 G1 7
SECOND e5+ B3 R2 1
FIRST f2+ B3 B3 7
SECOND d6- B2 R4 1
FIRST e1+ G4 Y4 8
SECOND a3- R4 Y2 1
FIRST f1- B1 G3 7
SECOND a2+ R1 G2 1
FIRST e1- R4 B4 8
SECOND c2+ G2 R1 1
FIRST a3+ Y4 Y1 7
SECOND b2- R3 G3 1
FIRST f5- G3 R3 9
SECOND c2- G3 B1 2
FIRST b2+ B3 B4 11
SECOND d6+ B1 G4 1
FIRST e6- Y1 Y4 8
SECOND c3- G4 B2 1
FIRST b3+ B4 R2 7
SECOND b1+ R2 Y1 1
FIRST b3- B4 R4 7
SECOND c1- R4 B3 1
FIRST c5+ R2 G3 7
SECOND c1+ R1 B4 1
FIRST b4- Y4 Y3 6
SECOND b4+ Y2 B1 1
FIRST a4+ R4 R1 6
SECOND c4- Y1 R2 1
FIRST f4+ Y3 G2 6
SECOND a2- R2 G1 1
FIRST c5- G2 B1 6
SECOND d1+ G1 R3 1
FIRST f4- G3 Y2 5
SECOND b1- R3 G4 1
FIRST b5+ Y2 R1 5
SECOND c4+ G4 G1 1
FIRST f5+ R3 R3 5
SECOND a5- B2 Y3 0
FIRST e6+ R1 X0 4
SECOND b5- Y3 X0 0
FIRST f6- B1 X0 5
SECOND a5+ B4 X0 0
FIRST a1+ G1 X0 3
SECOND a6- B3 X0 0
FIRST a6+ R3 X0 3
SECOND b6- B1 X0 0
FIRST b6+ R1 X0 3
SECOND c6- G1 X0 0
FINISH
SCOREFIRST 248
SCORESECOND 246
