[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT G3 R1 B4 Y4 B2 R1 B3 G3 G3 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 Y1 1830
SECOND d2- R1 B2 3
FIRST d1+ Y1 G4 6
SECOND b3- B3 Y2 2
FIRST a3+ G3 B4 6
SECOND b3+ B4 Y2 3
FIRST d3+ G4 B1 7
SECOND b4- B2 G4 3
FIRST e1- R1 R2 7
SECOND d3- G3 Y3 2
FIRST c2+ B1 R1 7
SECOND d2+ G4 B2 2
FIRST c2- R1 R3 7
SECOND c3- B2 G1 2
FIRST e2+ B4 Y4 7
SECOND e2- G3 Y1 2
FIRST e3+ B4 R3 8
SECOND e1+ G1 B3 2
FIRST e4- Y4 R4 7
SECOND b4+ B3 R4 2
FIRST d4+ R4 Y1 7
SECOND e4+ Y2 R3 2
FIRST b2+ Y1 R2 8
SECOND e5- Y3 Y3 1
FIRST b5- R3 G3 7
SECOND d5+ Y2 Y1 1
FIRST c4- R3 G1 7
SECOND d5- Y1 B1 1
FIRST b2- G1 Y2 7
SECOND a4+ B1 G1 1
FIRST a3- G3 Y3 7
SECOND c5+ Y3 R4 1
FIRST f4- R2 G2 7
SECOND c5- Y1 B1 1
FIRST d6- G2 G4 7
SECOND a5- B1 R3 1
FIRST f2- G4 B2 8
SECOND a2+ G1 G4 1
FIRST d6+ R2 B1 7
SECOND f1- G4 B4 1
FIRST a2- B1 G2 6
SECOND a5+ B4 G2 1
FIRST e6- B2 G1 7
SECOND f1+ G2 R1 1
FIRST a1+ G1 R4 6
SECOND f4+ R4 Y4 1
FIRST f2+ R4 Y2 8
SECOND c4+ Y4 Y4 1
FIRST e6+ Y2 Y3 6
SECOND b5+ Y4 G2 1
FIRST f6- B2 B3 6
SECOND b1+ G2 R2 1
FIRST e5+ G2 B3 5
SECOND f5- R3 R2 1
FIRST f5+ Y2 X0 5
SECOND c1+ R4 X0 0
FIRST c6- B3 X0 4
SECOND c1- R3 X0 0
FIRST b6+ Y3 X0 3
SECOND f3- R1 X0 0
FIRST b6- B3 X0 4
SECOND a6- R2 X0 0
FIRST a6+ Y3 X0 3
SECOND b1- R2 X0 0
FINISH
SCOREFIRST 324
SCORESECOND 298
