[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B3 Y4 B4 G1 R3 Y4 G3 B2 G2 G4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 R1 1725
SECOND d3+ G3 B3 3
FIRST d3- B3 Y2 8
SECOND e3+ G2 R2 3
FIRST d2+ R3 G2 7
SECOND e4- G4 Y4 2
FIRST e4+ Y4 Y3 8
SECOND d2- R2 R3 3
FIRST f3- Y2 Y4 9
SECOND c2+ R3 G1 3
FIRST f2+ G2 B1 8
SECOND d4+ G1 B1 2
FIRST c2- Y3 Y1 8
SECOND b2+ Y4 G4 2
FIRST b2- B4 Y3 8
SECOND d5- G4 Y2 2
FIRST e2+ R1 R1 7
SECOND b3- Y2 B3 2
FIRST a2+ Y4 Y1 8
SECOND b3+ Y4 Y3 2
FIRST e2- Y3 R2 8
SECOND b4- Y3 G3 2
FIRST f2- Y1 G4 7
SECOND c5+ G3 B2 2
FIRST f1+ Y1 B1 8
SECOND b1+ B2 R1 2
FIRST f1- B1 G1 8
SECOND c3- R1 Y2 1
FIRST e1+ R1 B2 7
SECOND b4+ Y2 G2 1
FIRST e1- B1 B2 8
SECOND c5- G2 Y1 1
FIRST d1+ G1 R4 7
SECOND b5- Y1 Y3 1
FIRST a2- G4 B4 7
SECOND c4- Y3 Y1 2
FIRST a1+ R4 R3 7
SECOND c4+ Y1 G1 1
FIRST a3- B4 R4 7
SECOND d5+ G1 B1 1
FIRST a3+ R4 B3 7
SECOND b1- B3 B4 1
FIRST c6- R3 G4 6
SECOND c1- B1 R1 1
FIRST b5+ B2 G3 8
SECOND c1+ B2 R2 1
FIRST b6- R2 G2 6
SECOND b6+ R1 R4 1
FIRST a6+ B2 G3 5
SECOND a6- B3 B4 0
FIRST f4- G4 R2 5
SECOND a5+ B4 R4 0
FIRST a4+ G3 Y2 5
SECOND a5- B1 R3 0
FIRST e6+ G2 X0 5
SECOND d6- R2 X0 0
FIRST f6- Y2 X0 4
SECOND d6+ R4 X0 0
FIRST e6- R2 X0 3
SECOND e5+ R4 X0 0
FIRST f5+ G3 X0 3
SECOND e5- R3 X0 0
FIRST f5- B3 X0 2
SECOND f4+ B4 X0 0
FINISH
SCOREFIRST 218
SCORESECOND 282
