[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B2 B1 R3 Y3 Y2 B1 R1 B1 Y3 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 G2 1771
SECOND d3+ Y3 G4 4
FIRST e3+ R3 R1 9
SECOND e4- R1 R2 2
FIRST d4+ B1 G2 7
SECOND e4+ R4 G3 2
FIRST d5- R1 Y4 6
SECOND e5- R2 R4 2
FIRST e5+ G2 Y1 7
SECOND d5+ R4 B2 2
FIRST f4- Y4 B4 7
SECOND e6- G4 B4 2
FIRST d6- B4 G4 9
SECOND d6+ G3 G2 2
FIRST c5+ Y1 Y4 7
SECOND e6+ G2 B3 2
FIRST f6- Y2 G1 7
SECOND b2- B1 R1 2
FIRST c5- G1 G4 8
SECOND f3- R1 Y2 2
FIRST f4+ Y4 R2 7
SECOND d3- Y2 B4 2
FIRST f5- B2 G3 8
SECOND a2+ B2 G3 2
FIRST f5+ R2 B3 8
SECOND a2- B1 R3 1
FIRST a3- G2 B1 7
SECOND f2+ R3 R2 2
FIRST c6- B1 G1 7
SECOND f2- R2 Y4 1
FIRST b6+ G1 B4 8
SECOND b1+ B4 R3 1
FIRST c1- G4 R4 7
SECOND f1+ R3 B3 1
FIRST c1+ B4 R3 7
SECOND b1- B3 Y1 1
FIRST a1+ G3 G3 7
SECOND b2+ B4 G1 1
FIRST c2- R4 R4 7
SECOND b3- B3 Y2 1
FIRST c2+ G4 Y2 7
SECOND d2+ Y4 G2 1
FIRST d2- R4 B3 6
SECOND e2- Y1 G1 1
FIRST e2+ B3 R1 6
SECOND e1+ Y2 G4 1
FIRST b5+ R1 B2 6
SECOND a3+ G1 B2 1
FIRST b3+ G3 R2 6
SECOND c3- G2 Y3 1
FIRST e1- R2 Y3 5
SECOND f1- Y3 Y4 1
FIRST d1+ Y2 Y1 7
SECOND b4- G1 Y1 0
FIRST b6- Y1 X0 7
SECOND b4+ G3 X0 1
FIRST b5- Y3 X0 6
SECOND c4- G4 X0 0
FIRST a5+ B3 X0 8
SECOND a5- B2 X0 0
FIRST a6- R3 X0 6
SECOND a6+ Y4 X0 0
FIRST a4+ B2 X0 7
SECOND c4+ Y1 X0 0
FINISH
SCOREFIRST 288
SCORESECOND 292
