[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G4 B1 B4 Y3 R1 R2 B4 Y3 G2 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 R1 1615
SECOND d3+ Y3 B2 2
FIRST b4+ B1 G1 6
SECOND b4- B4 Y1 3
FIRST b5- R1 G4 7
SECOND b3+ B2 Y4 2
FIRST c4- R1 Y4 7
SECOND b3- B4 G3 3
FIRST a3+ G4 G3 11
SECOND d3- Y1 R1 3
FIRST a3- Y4 Y2 7
SECOND d2+ Y4 Y3 4
FIRST e2- G4 Y4 7
SECOND d2- Y3 G1 2
FIRST e2+ B4 B4 8
SECOND c4+ R2 Y4 2
FIRST a2+ B4 G2 7
SECOND c2+ Y4 Y2 2
FIRST b2- Y4 B3 7
SECOND c2- Y2 R4 2
FIRST c5- G2 R2 8
SECOND c5+ G3 G1 2
FIRST a5+ G1 Y1 8
SECOND d5- G2 B3 2
FIRST a5- Y1 Y2 8
SECOND c3- B3 B1 2
FIRST c6- B3 R3 7
SECOND b2+ B1 G3 2
FIRST d1+ G3 G1 8
SECOND d4+ G1 R4 2
FIRST a4+ G1 B2 7
SECOND d5+ G1 B2 1
FIRST b5+ Y2 R3 7
SECOND e4- G3 G4 1
FIRST e3+ R3 R4 7
SECOND e4+ G4 R2 1
FIRST a2- R4 G3 7
SECOND f2- B2 G4 1
FIRST f3- G3 Y3 7
SECOND e5- G4 B3 1
FIRST f2+ R3 B2 6
SECOND f1+ B3 R1 1
FIRST f1- Y3 Y1 6
SECOND a1+ R1 Y2 1
FIRST a6- Y1 R4 6
SECOND c1+ Y2 G2 1
FIRST b1+ R4 B1 6
SECOND e5+ G2 Y1 1
FIRST a6+ B1 R2 5
SECOND c1- Y1 R3 1
FIRST b6- Y2 G2 5
SECOND b1- R2 B1 0
FIRST b6+ R2 B3 5
SECOND d6- R4 R3 0
FIRST e1- B3 X0 4
SECOND d6+ R1 X0 0
FIRST f5- R2 X0 4
SECOND e6- R4 X0 0
FIRST f5+ B2 X0 3
SECOND e6+ R3 X0 0
FIRST f6- G2 X0 3
SECOND e1+ B1 X0 0
FIRST f4+ B2 X0 2
SECOND f4- R3 X0 0
FINISH
SCOREFIRST 252
SCORESECOND 274
