[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y3 B2 B1 R3 B4 Y2 Y4 B2 G1 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 Y2 1744
SECOND d2- Y2 B1 2
FIRST e2+ Y3 R2 6
SECOND c2+ Y4 G4 2
FIRST d1+ B2 R3 8
SECOND e1- B3 G2 2
FIRST c3- B4 G4 6
SECOND e1+ B2 B2 2
FIRST b3+ G4 B1 6
SECOND e2- B1 R4 2
FIRST d3+ R3 G1 7
SECOND f1- B2 R1 2
FIRST f1+ R2 Y2 7
SECOND d3- R4 R3 2
FIRST f2- Y2 B3 7
SECOND d2+ R3 R4 2
FIRST f2+ Y2 B3 8
SECOND e3+ R1 B4 2
FIRST f3- G1 Y3 8
SECOND e4- R4 B4 1
FIRST b5- Y3 Y4 7
SECOND b3- G1 G3 1
FIRST a3+ B1 R4 7
SECOND b4- G2 G3 1
FIRST e4+ Y4 Y1 7
SECOND b2+ G4 G4 1
FIRST c2- R4 R1 7
SECOND b2- G3 B1 1
FIRST b4+ B3 G2 7
SECOND a2+ G4 R3 1
FIRST b1+ B3 Y4 7
SECOND d4+ R3 Y2 1
FIRST c1+ Y4 B4 7
SECOND a3- G3 R2 1
FIRST c1- B4 G3 7
SECOND d5- R2 Y1 1
FIRST a5+ G3 R1 6
SECOND b1- B4 R2 1
FIRST d5+ G2 G2 6
SECOND c5+ R2 G2 1
FIRST d6- G2 Y1 6
SECOND a2- G2 G1 1
FIRST c6- Y1 R4 6
SECOND a4+ G1 Y4 1
FIRST b6+ R1 B2 6
SECOND a1+ B1 Y3 1
FIRST c5- B2 G4 6
SECOND e5- Y1 Y3 1
FIRST a5- R1 G1 6
SECOND e5+ Y2 Y1 1
FIRST b6- B1 R2 5
SECOND b5+ B4 B3 1
FIRST a6+ Y1 G3 5
SECOND f4- Y3 R1 0
FIRST c4+ R2 X0 4
SECOND e6- Y4 X0 0
FIRST f4+ G3 X0 4
SECOND d6+ Y3 X0 0
FIRST e6+ G4 X0 3
SECOND f5- Y1 X0 0
FIRST f5+ G1 X0 3
SECOND c4- R1 X0 0
FIRST f6- R4 X0 2
SECOND a6- B3 X0 0
FINISH
SCOREFIRST 208
SCORESECOND 300
