[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT B4 Y2 R4 Y3 B3 R3 G3 R1 R4 Y3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y3 B2 1727
SECOND d3+ Y3 Y1 2
FIRST e2+ B3 G1 14
SECOND d3- Y1 B1 2
FIRST d2+ G1 B3 7
SECOND d2- G3 G4 2
FIRST d1+ B3 Y3 7
SECOND c2+ G4 G1 2
FIRST e1- Y3 G2 9
SECOND c2- G1 Y1 2
FIRST c3- R4 Y4 8
SECOND e3+ Y1 B1 3
FIRST b3+ Y4 R2 8
SECOND f2- B1 G2 2
FIRST b3- B4 R1 8
SECOND b2+ G2 G3 2
FIRST b2- R2 R2 8
SECOND c1+ G3 R1 2
FIRST a2+ Y2 G1 8
SECOND f2+ B1 R3 2
FIRST f3- R1 R3 8
SECOND b1+ R3 R4 1
FIRST e4- G1 B1 7
SECOND b1- R1 B3 2
FIRST d4+ B1 G4 7
SECOND c1- R4 Y2 1
FIRST a3- R2 G4 8
SECOND a1+ R3 B3 2
FIRST a3+ B2 R3 9
SECOND a2- R1 B4 1
FIRST b4- G4 B4 8
SECOND e2- B4 B2 1
FIRST b4+ G4 Y4 7
SECOND e1+ B2 R2 1
FIRST b5- Y4 R4 7
SECOND f1- B3 R2 1
FIRST c4- R4 B2 7
SECOND f1+ B3 G4 1
FIRST c4+ B4 R1 7
SECOND a4+ G4 Y2 1
FIRST d5- R1 B1 7
SECOND d5+ R4 B4 1
FIRST c5+ B1 Y1 6
SECOND e5- R2 Y4 1
FIRST c5- Y1 G3 6
SECOND b5+ Y2 B2 1
FIRST e4+ B2 Y2 6
SECOND a5+ Y2 G1 1
FIRST e5+ G2 Y1 5
SECOND b6- Y4 Y3 0
FIRST c6- Y1 G3 5
SECOND b6+ Y3 Y4 1
FIRST e6- Y2 G2 5
SECOND a6- Y4 G2 0
FIRST e6+ G2 X0 5
SECOND d6- R2 X0 0
FIRST f6- R3 X0 4
SECOND a5- G1 X0 0
FIRST f5+ G3 X0 3
SECOND f5- G2 X0 0
FIRST a6+ R3 X0 3
SECOND f4- B4 X0 0
FIRST d6+ G3 X0 3
SECOND f4+ B2 X0 0
FINISH
SCOREFIRST 324
SCORESECOND 272
