[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B4 R3 G4 G2 Y2 Y2 R2 Y1 G1 Y2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G2 G1 1767
SECOND d3+ G1 B3 3
FIRST e2+ Y2 G3 8
SECOND e2- Y1 Y4 3
FIRST d2+ G1 G2 9
SECOND e1+ Y2 G3 3
FIRST e1- G2 Y4 8
SECOND d3- G3 G2 2
FIRST a3+ R3 B1 8
SECOND d2- G2 G2 2
FIRST a3- G3 Y4 8
SECOND d1+ G2 R2 2
FIRST c5- G4 R1 8
SECOND f2- Y4 G4 2
FIRST c5+ B4 G4 7
SECOND c2+ G4 Y3 2
FIRST c6- G4 Y3 8
SECOND f2+ Y2 G4 2
FIRST b5+ Y4 B2 7
SECOND e3+ G4 B2 2
FIRST b6- Y4 B3 7
SECOND f3- Y3 B4 2
FIRST a2+ B3 Y3 8
SECOND b2- B2 Y3 2
FIRST a2- Y3 R4 7
SECOND f1- Y3 B1 2
FIRST b6+ R4 R3 9
SECOND b2+ B3 B3 2
FIRST b3- Y3 Y1 8
SECOND c2- B1 Y1 2
FIRST a1+ R3 R1 8
SECOND f1+ Y1 B1 1
FIRST c1+ R1 B4 8
SECOND b1+ B4 B2 1
FIRST b5- B4 Y1 7
SECOND c1- B3 R1 1
FIRST c4- Y1 B3 7
SECOND b1- B1 R3 1
FIRST b3+ B3 G3 7
SECOND d5- B2 B4 1
FIRST b4- G3 R2 6
SECOND d4+ B4 R1 1
FIRST b4+ B1 R2 6
SECOND a4+ R2 R3 1
FIRST a5- R2 G1 7
SECOND a5+ R1 R4 1
FIRST c4+ R1 R4 6
SECOND a6- R2 Y4 1
FIRST e4- R4 B2 6
SECOND a6+ R3 G3 0
FIRST d5+ R2 Y2 7
SECOND c3- G3 R4 1
FIRST d6- Y2 B1 6
SECOND e4+ R1 G1 0
FIRST d6+ B2 X0 5
SECOND e5- R3 X0 0
FIRST f4- G1 X0 4
SECOND e5+ R4 X0 0
FIRST e6- B2 X0 4
SECOND f5- R4 X0 0
FIRST f4+ Y1 X0 3
SECOND e6+ Y4 X0 0
FIRST f6- B1 X0 3
SECOND f5+ G1 X0 0
FINISH
SCOREFIRST 258
SCORESECOND 314
