[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y2 B3 Y2 R1 B4 Y1 G1 B3 R4 R1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R1 Y4 1770
SECOND d3+ R4 B2 4
FIRST d3- Y4 R2 10
SECOND e3+ R1 Y4 2
FIRST d2+ B4 B1 8
SECOND d2- B3 Y2 2
FIRST e2+ B1 R3 7
SECOND e2- B2 G3 2
FIRST e1+ Y2 Y3 7
SECOND e1- Y1 G2 2
FIRST f1- R2 G3 8
SECOND d1+ Y4 Y1 2
FIRST c2+ R3 Y1 8
SECOND b2- G1 B1 2
FIRST c2- Y3 Y4 7
SECOND f2- B1 R2 2
FIRST f1+ Y1 B1 9
SECOND e4- R2 G2 2
FIRST b2+ B3 G1 8
SECOND a2+ G3 Y4 2
FIRST c3- G3 R4 8
SECOND a3- G2 R1 2
FIRST f3- B1 R3 9
SECOND d4+ R1 R3 2
FIRST f2+ G1 B2 8
SECOND d5- R3 R4 1
FIRST b3- R3 B2 8
SECOND c5+ R4 Y2 1
FIRST c6- Y4 G2 8
SECOND b1+ G2 G4 2
FIRST a3+ Y2 G1 9
SECOND c1- G4 B1 1
FIRST c1+ R4 Y3 9
SECOND b6+ Y2 G1 1
FIRST b3+ Y3 G4 9
SECOND a2- G1 B2 1
FIRST c5- G4 B4 8
SECOND b6- Y1 B4 1
FIRST b5+ B4 R4 9
SECOND a6+ Y4 R2 1
FIRST b5- R4 B3 7
SECOND d5+ R2 B4 1
FIRST b4- B3 G2 7
SECOND a6- Y2 Y3 1
FIRST a5+ B2 Y1 6
SECOND a4+ B1 G3 1
FIRST a5- G2 R2 6
SECOND b1- G3 Y3 1
FIRST d6- B2 G3 6
SECOND b4+ B2 B3 1
FIRST d6+ G2 G4 6
SECOND c4- B4 G4 0
FIRST c4+ G4 R1 6
SECOND a1+ G4 R3 0
FIRST e6- R2 X0 6
SECOND e4+ R3 X0 0
FIRST e5- G3 X0 4
SECOND e5+ B4 X0 0
FIRST f6- Y1 X0 3
SECOND f5- B3 X0 0
FIRST e6+ R1 X0 3
SECOND f5+ Y3 X0 0
FIRST f4- G1 X0 3
SECOND f4+ Y3 X0 0
FINISH
SCOREFIRST 248
SCORESECOND 258
