[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT G4 B1 Y3 Y4 R4 R1 G4 G2 R3 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 Y4 1729
SECOND d2- R1 R2 3
FIRST e2+ G4 Y1 6
SECOND c2+ R3 B1 3
FIRST d3+ Y4 Y2 7
SECOND c2- R2 R2 2
FIRST c3- Y3 R1 7
SECOND d2+ R2 B3 2
FIRST d1+ B1 G1 8
SECOND f2- G2 Y4 2
FIRST f1+ Y2 B2 9
SECOND f2+ G4 Y3 5
FIRST f1- B2 G3 8
SECOND d3- Y3 Y3 2
FIRST b3+ G3 R4 8
SECOND e3+ Y3 G4 2
FIRST e1- Y1 G1 8
SECOND e4- Y4 R3 2
FIRST e4+ R4 G3 7
SECOND b2+ R3 G3 2
FIRST b3- G3 B3 7
SECOND e2- G3 Y4 2
FIRST a3+ B3 R3 8
SECOND f3- Y4 G2 3
FIRST a3- R3 B4 10
SECOND e1+ G4 B4 1
FIRST f4- R4 B2 8
SECOND b4- G2 G1 1
FIRST d4+ B4 Y3 8
SECOND b4+ G1 R4 1
FIRST a2+ Y3 B3 7
SECOND b2- R4 B1 2
FIRST a2- B3 B1 9
SECOND d5- B3 B4 1
FIRST b5- R1 R1 7
SECOND d5+ B1 R4 1
FIRST a5+ G1 R2 7
SECOND c1+ R4 B2 1
FIRST c4- B1 G2 7
SECOND c5+ B4 Y1 1
FIRST a5- R1 G4 6
SECOND e5- B3 R1 1
FIRST b5+ G1 G2 6
SECOND b1+ R1 Y2 1
FIRST f4+ G4 Y1 6
SECOND e5+ B1 Y2 1
FIRST a6- Y1 R3 6
SECOND d6- B4 B2 1
FIRST a1+ R3 R2 5
SECOND d6+ B2 G1 1
FIRST a4+ R2 B4 5
SECOND e6- B2 G3 0
FIRST e6+ G2 Y2 5
SECOND a6+ Y2 Y1 0
FIRST f6- B2 X0 4
SECOND b6- Y2 X0 0
FIRST f5+ G2 X0 4
SECOND f5- G3 X0 0
FIRST b6+ R2 X0 3
SECOND c5- G1 X0 0
FIRST c6- Y2 X0 3
SECOND c1- Y1 X0 0
FIRST c4+ B4 X0 2
SECOND b1- Y1 X0 0
FINISH
SCOREFIRST 290
SCORESECOND 274
