[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R2 B1 B4 G1 B2 G3 B2 R2 G2 Y2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 Y4 1821
SECOND d3+ G3 G1 2
FIRST e3+ B1 Y1 8
SECOND d3- G2 R1 2
FIRST d2+ B2 Y4 8
SECOND e2+ G1 R4 2
FIRST d2- R2 G4 7
SECOND c2+ R1 B3 2
FIRST e2- Y1 R1 8
SECOND c2- R2 G2 2
FIRST e1+ R1 R4 11
SECOND f2- G2 G4 3
FIRST a3+ Y4 Y3 9
SECOND f2+ G4 R4 2
FIRST a3- B4 R2 7
SECOND b2+ R4 G3 2
FIRST b3- Y4 B3 9
SECOND f3- G3 R2 3
FIRST a2+ G4 G2 11
SECOND c3- R4 G4 2
FIRST b3+ R4 G4 7
SECOND f1+ G4 Y3 2
FIRST b2- G4 B4 8
SECOND b4- R2 Y2 2
FIRST a2- B4 B3 8
SECOND e4- B2 Y4 2
FIRST d1+ G2 G3 9
SECOND d4+ B3 B4 2
FIRST e1- R2 R3 9
SECOND d5- B4 G1 1
FIRST b4+ B3 G2 8
SECOND f1- G1 B1 1
FIRST c4- G3 G3 7
SECOND d5+ B1 R1 1
FIRST b5- R3 R3 8
SECOND a4+ R1 Y1 1
FIRST a5+ B3 B1 7
SECOND a1+ Y2 B2 1
FIRST a5- Y3 B2 7
SECOND c5+ B2 R3 1
FIRST b5+ R3 R4 7
SECOND c1+ R3 Y4 1
FIRST b1+ R4 Y2 6
SECOND b1- Y3 B4 1
FIRST a6- G3 G1 6
SECOND e4+ B4 R3 1
FIRST d6- G1 Y2 5
SECOND c1- R3 Y3 1
FIRST c5- Y2 Y3 5
SECOND c4+ Y4 B3 0
FIRST a6+ Y3 Y1 5
SECOND e5- B3 Y1 0
FIRST c6- G2 R1 5
SECOND b6- Y2 B1 0
FIRST b6+ B2 X0 5
SECOND e5+ B1 X0 0
FIRST d6+ Y1 X0 4
SECOND e6- Y4 X0 0
FIRST f5- R1 X0 3
SECOND e6+ Y1 X0 0
FIRST f5+ B1 X0 3
SECOND f6- Y3 X0 0
FIRST f4- Y2 X0 2
SECOND f4+ Y1 X0 0
FINISH
SCOREFIRST 300
SCORESECOND 346
