[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B1 B4 Y3 R3 R1 R3 B3 B1 G1 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 G4 1695
SECOND d3+ R3 Y4 3
FIRST e2+ Y3 R4 6
SECOND e2- Y4 G2 2
FIRST d2+ B4 R1 8
SECOND d2- B3 R1 3
FIRST d3- G4 R2 7
SECOND c2+ B1 G4 3
FIRST c3- R1 B3 7
SECOND c2- B3 Y3 2
FIRST b3+ R1 B3 7
SECOND e3+ R1 Y1 2
FIRST b3- B1 Y1 8
SECOND e1+ Y3 R4 2
FIRST a3+ Y1 Y2 8
SECOND e4- R4 Y2 2
FIRST f2- B3 Y2 7
SECOND e1- Y1 R1 2
FIRST f2+ B3 G2 8
SECOND d4+ R1 G1 2
FIRST a1+ R4 Y3 7
SECOND d1+ Y2 Y2 2
FIRST f1+ Y3 Y4 7
SECOND f1- Y2 B2 1
FIRST e4+ Y4 B4 7
SECOND b2+ B2 Y1 1
FIRST b2- G2 B2 7
SECOND a2+ G1 G3 1
FIRST b1+ Y2 B1 7
SECOND a3- G2 B4 1
FIRST b4- B1 G1 7
SECOND c1+ B4 G4 1
FIRST a4+ G1 G3 7
SECOND a2- G3 R2 1
FIRST f3- G3 G4 7
SECOND d5- R2 G3 1
FIRST c1- R2 G1 6
SECOND a5- G4 R3 1
FIRST b4+ G1 B2 6
SECOND d5+ R3 B2 1
FIRST b1- B2 Y1 6
SECOND a5+ G1 Y3 1
FIRST b5- Y1 R3 6
SECOND a6- G4 G2 1
FIRST c5+ Y2 R4 6
SECOND a6+ G3 R4 1
FIRST c6- B2 R2 5
SECOND d6- R4 B1 1
FIRST f4- G4 G3 5
SECOND b6- G2 Y4 1
FIRST b6+ R2 Y4 5
SECOND c5- Y1 R2 0
FIRST e5- B4 G2 5
SECOND d6+ R2 B4 0
FIRST f4+ Y4 X0 4
SECOND b5+ Y3 X0 0
FIRST e5+ R4 X0 4
SECOND c4+ Y4 X0 0
FIRST e6- G2 X0 3
SECOND c4- B2 X0 0
FIRST e6+ G3 X0 3
SECOND f5- B1 X0 0
FIRST f6- R3 X0 2
SECOND f5+ B4 X0 0
FINISH
SCOREFIRST 276
SCORESECOND 290
