[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y4 R4 Y1 B1 B2 Y2 B2 Y4 R4 R1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B1 B4 1701
SECOND d3+ B2 Y3 3
FIRST e2+ Y1 G4 7
SECOND e2- Y2 G3 3
FIRST d2+ B2 Y2 8
SECOND e1+ Y4 G3 3
FIRST d3- Y2 R3 8
SECOND f2- Y3 Y4 3
FIRST e1- R4 R1 8
SECOND f2+ Y4 R3 2
FIRST f1+ R3 G1 8
SECOND d1+ R1 R4 3
FIRST f3- G4 Y4 8
SECOND d2- R4 Y1 2
FIRST e3+ R1 B3 8
SECOND f1- Y1 G1 2
FIRST c2+ B4 Y2 8
SECOND e4- R3 R3 1
FIRST e4+ B3 G2 8
SECOND d4+ R4 G1 1
FIRST c2- Y4 R2 7
SECOND d5- R3 B3 1
FIRST b2+ Y4 Y3 7
SECOND c3- B3 Y1 1
FIRST b3+ Y3 R2 7
SECOND b3- Y1 R1 1
FIRST a3+ G1 G3 7
SECOND d5+ R1 R2 1
FIRST c5+ G3 G1 7
SECOND e5- R2 R2 1
FIRST e5+ Y2 B3 7
SECOND d6- R2 Y3 1
FIRST e6- G2 Y1 7
SECOND b2- Y3 G4 1
FIRST e6+ R2 R3 8
SECOND c5- G1 B4 1
FIRST d6+ R2 B4 7
SECOND c4+ G3 G2 1
FIRST c1+ B4 B1 7
SECOND c4- G1 G4 1
FIRST b5+ Y1 G2 6
SECOND b4+ G3 B1 1
FIRST b4- B3 R1 6
SECOND b5- G4 G2 1
FIRST f5- G2 G4 6
SECOND a5+ G2 Y2 1
FIRST c1- G4 Y3 6
SECOND c6- G4 B2 1
FIRST a4+ R3 B2 5
SECOND b6+ G2 B3 1
FIRST a5- Y3 G3 5
SECOND a2+ Y2 B4 0
FIRST f4+ B2 R4 5
SECOND f4- B4 B1 0
FIRST b1+ R4 X0 4
SECOND a1+ B1 X0 0
FIRST b1- R1 X0 4
SECOND a2- B3 X0 0
FIRST a3- B1 X0 3
SECOND a6- B4 X0 0
FIRST a6+ G1 X0 3
SECOND f5+ B1 X0 0
FIRST f6- G3 X0 2
SECOND b6- B2 X0 0
FINISH
SCOREFIRST 232
SCORESECOND 272
