[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B1 R1 R4 R4 G4 B2 B4 B1 R2 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 Y1 1763
SECOND d3+ R2 R4 4
FIRST e3+ R4 B2 13
SECOND d3- R4 Y3 3
FIRST d2+ G4 G4 12
SECOND b3- B2 B2 2
FIRST e4- G4 G1 10
SECOND b2+ B4 G4 2
FIRST b3+ B2 Y4 7
SECOND b2- B1 R2 2
FIRST d4+ Y4 R2 7
SECOND a2+ B3 G4 2
FIRST b4- R2 Y1 8
SECOND c2- B2 Y1 2
FIRST b1+ R1 G1 11
SECOND e2+ R2 Y4 4
FIRST c1- Y1 Y3 15
SECOND d5- Y3 B1 3
FIRST b1- Y1 G2 14
SECOND c2+ B1 Y2 3
FIRST a1+ B1 R2 14
SECOND c5+ Y1 Y3 4
FIRST a2- G1 Y3 13
SECOND c5- Y4 G3 3
FIRST c1+ G1 B2 12
SECOND d5+ Y2 G3 2
FIRST a3+ G2 R1 9
SECOND c4+ Y3 R1 2
FIRST a3- R2 B3 8
SECOND e2- R1 R3 1
FIRST b4+ B2 Y4 7
SECOND f3- R3 G1 1
FIRST e4+ Y4 R3 8
SECOND d2- G3 B4 1
FIRST d1+ Y3 R3 7
SECOND c3- B4 G1 1
FIRST c6- R1 B3 7
SECOND a4+ G4 R3 1
FIRST e1- B3 B1 7
SECOND f2- R3 R1 1
FIRST e1+ Y3 G3 7
SECOND f2+ R1 Y2 1
FIRST f1- B3 B4 7
SECOND e5- Y2 R4 1
FIRST f1+ G3 G2 7
SECOND a5- G3 B3 1
FIRST b5- G2 Y2 6
SECOND a5+ G4 G2 1
FIRST f4- B4 G3 6
SECOND b5+ G1 Y4 1
FIRST b6- B1 Y2 5
SECOND c4- Y4 G2 0
FIRST a6- R3 B4 5
SECOND f4+ B3 Y1 0
FIRST f5- R3 X0 5
SECOND e5+ Y1 X0 0
FIRST f5+ G3 X0 4
SECOND b6+ R4 X0 0
FIRST a6+ Y2 X0 3
SECOND f6- G1 X0 0
FIRST d6+ Y2 X0 3
SECOND e6+ G2 X0 0
FIRST e6- B4 X0 3
SECOND d6- G2 X0 0
FINISH
SCOREFIRST 244
SCORESECOND 314
