[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y1 B1 R2 R4 R3 G4 G3 G3 B1 R2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 G1 1742
SECOND d3+ R2 Y1 2
FIRST d3- R2 B3 8
SECOND d2- G4 G2 2
FIRST b4+ B1 Y4 7
SECOND c2+ G3 R1 2
FIRST c4- G1 G4 8
SECOND d2+ R1 Y2 2
FIRST c3- R3 G1 8
SECOND c2- G2 B3 3
FIRST b5- G1 R1 7
SECOND b2+ G3 G4 3
FIRST b4- R1 B1 8
SECOND b3- G4 B4 3
FIRST b3+ B1 G3 8
SECOND a3- B1 R3 2
FIRST a4+ Y1 R2 8
SECOND e3+ R3 B3 2
FIRST b2- B3 Y1 7
SECOND a2+ B4 B1 2
FIRST a5+ Y1 G2 7
SECOND a3+ B3 Y3 1
FIRST e2+ Y4 G4 9
SECOND b1+ B1 G1 1
FIRST e4- G3 R1 7
SECOND c1- B3 Y4 2
FIRST a5- R1 R4 7
SECOND c1+ G1 B2 1
FIRST e2- G4 Y3 7
SECOND a2- B2 R2 1
FIRST a1+ G2 B4 7
SECOND f3- R2 Y2 1
FIRST f2- G4 Y3 7
SECOND a6- Y2 B4 1
FIRST e1+ R4 B2 7
SECOND b1- B4 R4 1
FIRST f2+ B4 Y2 7
SECOND a6+ Y1 G1 2
FIRST e4+ Y3 Y2 6
SECOND d1+ G1 Y3 1
FIRST f4- Y3 B4 6
SECOND b6- Y3 R1 1
FIRST e1- B4 B3 6
SECOND b5+ Y4 Y1 1
FIRST f4+ B3 B2 6
SECOND c5- Y2 R3 1
FIRST c5+ B2 R3 7
SECOND c4+ Y3 B2 1
FIRST d4+ R3 Y4 6
SECOND b6+ Y1 R4 1
FIRST f1- Y4 G2 5
SECOND d5- R4 Y4 1
FIRST c6- G2 G3 5
SECOND d5+ R1 G2 0
FIRST f5- G3 X0 4
SECOND e5- R4 X0 0
FIRST d6+ Y2 X0 4
SECOND d6- R3 X0 0
FIRST e6- Y2 X0 3
SECOND e6+ Y4 X0 0
FIRST e5+ B2 X0 3
SECOND f5+ G2 X0 0
FIRST f6- R2 X0 2
SECOND f1+ B2 X0 0
FINISH
SCOREFIRST 240
SCORESECOND 278
