[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R4 G2 B3 B4 G1 G3 B1 R1 G1 Y1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 G4 1749
SECOND d3+ B1 R3 3
FIRST e2+ R4 Y1 12
SECOND e2- R1 G4 4
FIRST d2+ G1 B2 12
SECOND e1+ R3 R4 4
FIRST d3- Y1 R1 9
SECOND e1- R4 Y2 3
FIRST e3+ G4 G4 8
SECOND d2- G3 G3 2
FIRST f2- G4 Y3 8
SECOND c2+ G1 R3 2
FIRST f1- Y3 R3 9
SECOND d1+ R3 B2 2
FIRST f1+ B3 B4 9
SECOND c2- G4 B4 2
FIRST e4- B4 Y2 9
SECOND c3- G3 R4 2
FIRST b3+ R3 R3 8
SECOND b3- R4 G2 2
FIRST b4- R3 B1 10
SECOND b2+ G2 Y3 2
FIRST b2- Y2 R4 10
SECOND a2+ Y1 B3 2
FIRST d4+ R4 R1 9
SECOND a3- Y2 Y4 2
FIRST a3+ B2 B1 8
SECOND b1+ Y3 G2 1
FIRST a2- B1 G3 8
SECOND c1+ G2 B2 1
FIRST a1+ R1 Y3 9
SECOND c1- Y4 R1 1
FIRST b1- R1 G2 8
SECOND b4+ R1 Y3 1
FIRST c4- B1 R2 8
SECOND e4+ B2 B3 1
FIRST f4- R2 G1 8
SECOND e5- B4 B1 1
FIRST f4+ G2 Y1 7
SECOND d5+ B3 G4 1
FIRST b5- G1 B2 7
SECOND d5- B2 Y2 1
FIRST c5+ G2 G3 7
SECOND e5+ B3 R2 1
FIRST b5+ Y1 Y4 7
SECOND d6- B1 R2 1
FIRST f2+ Y4 B3 6
SECOND a4+ R2 B4 1
FIRST c5- B2 Y4 6
SECOND d6+ B4 G1 1
FIRST f3- Y4 Y2 6
SECOND a5- R2 Y4 0
FIRST c6- Y2 R2 6
SECOND a5+ G4 Y1 0
FIRST c4+ R2 X0 5
SECOND a6- G1 X0 0
FIRST f5- G3 X0 4
SECOND b6- Y3 X0 0
FIRST b6+ G3 X0 4
SECOND a6+ Y2 X0 0
FIRST f5+ B3 X0 3
SECOND e6- Y1 X0 0
FIRST f6- Y3 X0 3
SECOND e6+ Y4 X0 0
FINISH
SCOREFIRST 216
SCORESECOND 258
