[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y1 Y3 G2 Y4 R4 G3 R2 R1 R2 R4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 R1 1998
SECOND d2- G3 Y2 3
FIRST d3+ R4 R3 7
SECOND d3- R2 Y3 2
FIRST d2+ G2 Y3 8
SECOND e3+ Y2 G2 2
FIRST c2+ Y3 B1 8
SECOND e4- Y3 G1 2
FIRST c2- R3 B4 8
SECOND e2- G1 B2 2
FIRST b2+ Y3 R2 8
SECOND e2+ G2 G4 2
FIRST e1+ Y1 B2 8
SECOND d1+ G4 Y4 2
FIRST e1- B1 R1 8
SECOND d4+ Y4 G4 2
FIRST f3- R2 G4 8
SECOND f2- G4 G3 2
FIRST f2+ B2 R4 8
SECOND f1+ G3 Y4 2
FIRST d5- R4 Y2 8
SECOND e4+ Y4 R1 2
FIRST d5+ B4 B3 8
SECOND c1+ R1 R3 1
FIRST e5- G4 G3 9
SECOND c1- R2 G1 1
FIRST b2- B3 G1 7
SECOND f1- G1 B4 2
FIRST c3- G3 Y4 7
SECOND b1+ R4 Y2 1
FIRST d6- Y4 Y1 8
SECOND f4- Y2 B1 1
FIRST a1+ R1 B2 7
SECOND b1- R3 B3 1
FIRST f4+ B2 G4 7
SECOND a2- R1 R3 1
FIRST c5+ G4 B4 7
SECOND a2+ R3 B1 1
FIRST c6- B4 G3 8
SECOND f5- B4 Y1 1
FIRST b3+ G3 B3 7
SECOND e5+ B2 B4 1
FIRST b3- B3 Y2 7
SECOND e6- B1 Y3 1
FIRST d6+ G1 R2 8
SECOND e6+ B3 B2 1
FIRST c5- Y2 G1 7
SECOND f5+ B1 Y1 1
FIRST f6- G1 R3 7
SECOND b5+ Y1 R4 1
FIRST a3+ R3 G2 6
SECOND a3- R4 B3 1
FIRST b5- Y1 B1 6
SECOND b4+ Y3 G2 0
FIRST a5+ R1 X0 6
SECOND b4- Y1 X0 0
FIRST a5- B1 X0 5
SECOND a4+ B4 X0 0
FIRST c4+ R2 X0 4
SECOND b6+ B2 X0 0
FIRST c4- G2 X0 4
SECOND b6- B3 X0 0
FIRST a6+ Y2 X0 3
SECOND a6- G2 X0 0
FINISH
SCOREFIRST 260
SCORESECOND 302
