[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R4 R2 G3 G4 B3 Y3 R2 Y2 G1 B1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 Y2 1753
SECOND d3+ G1 R2 3
FIRST e2+ R4 G2 13
SECOND e2- R2 R3 2
FIRST e1+ R2 B1 8
SECOND d2+ R3 G2 2
FIRST d2- B3 Y2 8
SECOND d3- R2 G4 2
FIRST d1+ G3 R3 7
SECOND e3+ G2 R4 2
FIRST c2+ R3 G1 8
SECOND e1- R4 G4 3
FIRST f1- Y2 B2 9
SECOND e4- G4 G2 2
FIRST f3- Y2 B3 8
SECOND d4+ G2 G3 2
FIRST f2+ G2 R2 8
SECOND d5- G4 B3 2
FIRST f1+ R2 B4 8
SECOND d5+ G3 B3 2
FIRST f2- B2 G3 8
SECOND b2- Y3 B2 2
FIRST c2- B3 Y3 8
SECOND b2+ Y2 B1 2
FIRST c1+ G3 Y4 8
SECOND a2+ B1 R4 2
FIRST c1- Y3 Y4 8
SECOND a3- B3 Y2 1
FIRST e4+ Y4 G1 7
SECOND b1+ Y2 Y1 1
FIRST e5- Y4 Y3 7
SECOND b3- Y1 R3 1
FIRST c3- Y3 G4 7
SECOND a3+ B2 Y4 1
FIRST e5+ B4 Y1 7
SECOND b3+ Y4 R1 1
FIRST e6- G4 B1 7
SECOND a2- B3 Y3 1
FIRST c5+ B1 R4 6
SECOND b4- Y3 G3 1
FIRST d6+ R4 B4 6
SECOND d6- G3 Y1 1
FIRST e6+ B4 Y1 6
SECOND b4+ Y1 B4 1
FIRST c6- G1 R3 6
SECOND a1+ B1 R1 1
FIRST c5- Y1 B2 6
SECOND b1- B4 G1 1
FIRST b6+ Y1 R1 5
SECOND a4+ R4 Y4 1
FIRST c4+ G1 G2 5
SECOND c4- Y4 B2 1
FIRST b5+ B1 R1 5
SECOND b5- B2 B4 0
FIRST b6- R1 X0 4
SECOND a5+ B4 X0 0
FIRST a6+ R1 X0 4
SECOND a6- R3 X0 0
FIRST f4- R3 X0 3
SECOND f4+ R1 X0 0
FIRST a5- G2 X0 3
SECOND f5- R1 X0 0
FIRST f6- B2 X0 2
SECOND f5+ G1 X0 0
FINISH
SCOREFIRST 284
SCORESECOND 292
