[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G4 Y2 R3 B2 Y1 R3 G1 B2 R1 G1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B2 Y4 1657
SECOND d3+ B2 B1 3
FIRST d3- Y2 Y2 7
SECOND e3+ B1 Y1 2
FIRST f3- Y1 R3 6
SECOND d2+ Y1 Y3 2
FIRST e2+ Y2 B3 7
SECOND e2- Y3 Y4 2
FIRST e1+ B3 Y4 7
SECOND d2- Y4 R3 2
FIRST c2+ G4 G1 7
SECOND c2- G1 Y2 2
FIRST c3- Y4 G2 8
SECOND d1+ Y2 Y3 2
FIRST f2- G2 B4 7
SECOND e1- Y3 R2 2
FIRST b3+ B4 B2 7
SECOND b2+ G1 B2 2
FIRST f1+ B2 B1 7
SECOND e4- B2 R1 1
FIRST b3- Y4 G4 7
SECOND a3- R3 B3 2
FIRST a3+ G4 R2 7
SECOND d4+ B3 B3 1
FIRST f1- R2 Y3 7
SECOND e4+ B3 G2 1
FIRST f2+ G1 B4 7
SECOND b2- G2 R2 1
FIRST b4- B4 G2 7
SECOND a2+ R1 G3 1
FIRST c1+ B1 G1 7
SECOND b1+ G3 B4 1
FIRST b1- Y3 B1 7
SECOND d5- B4 G4 1
FIRST a1+ R3 R2 7
SECOND c1- G4 G3 1
FIRST f4- R3 R4 7
SECOND a2- R2 B4 1
FIRST a4+ R4 R1 7
SECOND e5- B4 Y4 1
FIRST b4+ G1 R1 6
SECOND b5- G3 B1 1
FIRST c4- R1 G3 6
SECOND d5+ B1 R4 1
FIRST c4+ B1 G3 6
SECOND f4+ R1 G4 1
FIRST c5- R1 Y1 6
SECOND b5+ G4 Y2 1
FIRST c5+ Y1 R4 5
SECOND f5- R3 G2 1
FIRST a5- R4 B3 5
SECOND e5+ R2 R4 0
FIRST e6- G2 Y3 5
SECOND f5+ R4 Y1 0
FIRST d6+ R2 X0 4
SECOND f6- R4 X0 0
FIRST a5+ B3 X0 4
SECOND b6- G2 X0 0
FIRST a6- G3 X0 3
SECOND c6- Y4 X0 0
FIRST a6+ Y3 X0 3
SECOND b6+ Y1 X0 0
FIRST d6- G3 X0 2
SECOND e6+ Y2 X0 0
FINISH
SCOREFIRST 250
SCORESECOND 274
