[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT Y3 R2 R3 R3 G1 Y1 Y4 R2 R3 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 B4 1707
SECOND d3+ R2 G1 3
FIRST e2+ Y3 Y3 8
SECOND d3- R3 Y3 2
FIRST f2- R3 G4 7
SECOND e2- Y1 R2 2
FIRST f1+ Y3 B4 7
SECOND d2+ R2 Y2 2
FIRST e1+ G1 B3 7
SECOND f1- Y4 G4 2
FIRST e3+ B3 B2 7
SECOND e1- G4 G1 2
FIRST d1+ B4 Y1 7
SECOND d2- G1 G4 2
FIRST c2+ Y1 G3 7
SECOND c2- Y4 G3 1
FIRST e4- G3 Y4 7
SECOND b2+ Y3 G3 2
FIRST c1+ B4 R2 7
SECOND b3- Y2 R4 1
FIRST a3+ R2 B3 7
SECOND d4+ G1 B1 1
FIRST e4+ B3 G2 7
SECOND d5- G4 B2 2
FIRST b3+ G2 B2 7
SECOND c5+ G3 R3 1
FIRST a3- B2 G4 9
SECOND d5+ G3 B4 2
FIRST c1- Y4 G3 8
SECOND e5- B1 G2 1
FIRST f2+ G3 G2 7
SECOND c5- G2 R1 1
FIRST a2+ R2 Y2 7
SECOND e5+ B2 Y2 1
FIRST b2- G2 R4 7
SECOND c3- Y2 R1 1
FIRST b4- B2 Y2 7
SECOND e6- B4 B4 1
FIRST a2- Y2 R4 6
SECOND f4- B4 Y1 1
FIRST a4+ Y2 Y1 7
SECOND b1+ Y1 Y3 1
FIRST e6+ R4 G1 6
SECOND b1- Y3 G2 1
FIRST f6- G4 R1 7
SECOND d6- G2 B1 1
FIRST d6+ R4 B1 5
SECOND f4+ B1 B2 1
FIRST f5- G1 R1 6
SECOND f3- B2 B3 1
FIRST f5+ B1 Y4 5
SECOND b4+ B3 B3 0
FIRST a5- Y1 B1 5
SECOND c4- B3 R4 0
FIRST a5+ B1 X0 4
SECOND a1+ R4 X0 0
FIRST b5- R1 X0 5
SECOND b5+ R3 X0 0
FIRST a6- R1 X0 4
SECOND b6- R1 X0 0
FIRST a6+ G4 X0 3
SECOND b6+ R4 X0 0
FIRST c6- Y4 X0 3
SECOND c4+ R1 X0 0
FINISH
SCOREFIRST 256
SCORESECOND 202
