[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B4 Y4 R3 B2 R2 Y4 G1 G2 R4 R3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B2 R1 1766
SECOND d2- Y4 Y1 3
FIRST d3+ R2 B1 8
SECOND c2+ Y1 G3 3
FIRST d1+ B4 Y3 8
SECOND d3- R4 Y1 3
FIRST d2+ Y4 Y3 8
SECOND e2- Y1 B1 3
FIRST c3- R1 R4 8
SECOND b3+ R3 G3 2
FIRST e1- R4 Y2 7
SECOND e3+ B1 G4 2
FIRST c2- B1 Y2 7
SECOND b2- G1 B3 2
FIRST b4- Y3 G2 8
SECOND e4- B3 B4 3
FIRST b4+ Y3 Y4 7
SECOND d4+ B4 Y3 2
FIRST a4+ R3 G2 7
SECOND e2+ Y3 G4 2
FIRST d5- Y4 Y1 7
SECOND a2+ G2 Y2 2
FIRST b2+ Y1 R2 8
SECOND e1+ Y2 R4 1
FIRST a3- G2 B3 8
SECOND a2- G3 R2 1
FIRST a3+ Y2 R3 7
SECOND b1+ G3 R2 1
FIRST b5- R3 B2 7
SECOND b1- G4 B3 1
FIRST a5- B3 R1 7
SECOND a1+ G4 B1 1
FIRST c1+ R1 Y1 7
SECOND e4+ B1 B4 1
FIRST c1- Y1 B3 7
SECOND e5- B3 G2 1
FIRST a5+ B3 G4 7
SECOND e5+ B4 Y4 1
FIRST c5+ G4 G4 7
SECOND f2- Y4 R1 1
FIRST c6- G4 G1 6
SECOND b3- R4 Y2 1
FIRST f1- B2 G3 6
SECOND f2+ Y2 G1 1
FIRST a6- G3 B4 6
SECOND c5- G2 R1 1
FIRST b6+ B4 G1 6
SECOND c4+ G1 Y3 1
FIRST f3- R2 G3 5
SECOND f1+ Y3 B2 0
FIRST a6+ G3 B1 5
SECOND d5+ B2 R3 0
FIRST b5+ Y2 R4 5
SECOND c4- R2 B2 0
FIRST b6- R4 X0 4
SECOND e6- B2 X0 0
FIRST f4- G1 X0 4
SECOND d6- R1 X0 0
FIRST f4+ B1 X0 3
SECOND d6+ R3 X0 0
FIRST f5- G1 X0 2
SECOND e6+ R1 X0 0
FIRST f6- G2 X0 2
SECOND f5+ R2 X0 0
FINISH
SCOREFIRST 258
SCORESECOND 278
