[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT Y3 B4 Y1 R3 G3 Y4 Y4 R2 B4 B2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 G1 1687
SECOND d3+ R2 Y2 2
FIRST e2+ Y3 R1 8
SECOND e2- Y4 R4 3
FIRST e3+ G3 B1 9
SECOND d2+ Y2 G3 3
FIRST e1+ B4 B2 9
SECOND d2- Y4 R1 3
FIRST d3- B2 B4 8
SECOND e1- B2 Y3 2
FIRST f1- B4 Y3 9
SECOND c2+ Y3 R1 2
FIRST e4- Y3 B2 8
SECOND d1+ B4 Y1 2
FIRST a3+ G1 G4 7
SECOND c2- Y1 G4 2
FIRST c1+ B1 R4 8
SECOND b3- G3 G3 2
FIRST c1- R1 Y2 8
SECOND b3+ G4 B1 2
FIRST b1+ Y1 R2 8
SECOND f1+ B1 B2 3
FIRST b4- R4 Y2 7
SECOND f2- B2 G2 1
FIRST b4+ G4 B3 7
SECOND c3- G2 R4 2
FIRST d4+ B3 R4 7
SECOND a3- G3 G1 2
FIRST b5- R4 Y1 7
SECOND a2+ G1 R3 1
FIRST b2- Y1 Y4 7
SECOND a4+ R1 G4 1
FIRST a5+ Y4 B3 7
SECOND b2+ G4 G2 1
FIRST e4+ B3 G1 7
SECOND a2- G2 Y2 1
FIRST b1- G1 G4 7
SECOND a5- R3 Y1 2
FIRST a6- G4 R2 11
SECOND b5+ R1 G1 2
FIRST f2+ R2 G3 9
SECOND a1+ G1 Y3 1
FIRST d5- G3 R1 7
SECOND c5- R4 R2 1
FIRST f3- Y2 G2 8
SECOND c4+ R2 B3 1
FIRST c4- B2 G2 7
SECOND b6- R4 B1 1
FIRST f4- R2 R3 6
SECOND e5- B1 B3 1
FIRST d5+ R3 B1 6
SECOND e5+ B3 R3 1
FIRST f4+ G2 Y4 6
SECOND b6+ R3 B4 0
FIRST a6+ Y4 X0 5
SECOND e6- B4 X0 0
FIRST f5- G2 X0 4
SECOND d6+ B3 X0 0
FIRST f5+ Y2 X0 3
SECOND f6- Y1 X0 0
FIRST e6+ R1 X0 3
SECOND c5+ Y2 X0 0
FIRST c6- B1 X0 2
SECOND d6- Y3 X0 0
FINISH
SCOREFIRST 302
SCORESECOND 278
