[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT R4 B3 Y1 G3 B4 R3 B4 B2 Y2 Y1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G3 B2 1654
SECOND d2- R3 B2 3
FIRST d1+ B3 R3 7
SECOND e1- B4 G1 3
FIRST e1+ R4 Y4 8
SECOND d3+ G1 G2 3
FIRST f1- Y4 G4 8
SECOND d3- G2 Y3 3
FIRST d2+ B2 G1 8
SECOND f1+ Y2 B3 2
FIRST e2- G4 R2 7
SECOND f2- Y1 B1 2
FIRST e2+ B4 Y3 7
SECOND f2+ Y3 R3 2
FIRST c2+ R3 Y2 7
SECOND c2- R3 R4 3
FIRST b2+ Y3 G3 7
SECOND c3- R4 R4 2
FIRST b2- G3 Y2 8
SECOND c1+ R4 B3 2
FIRST a3+ G1 B2 7
SECOND a2+ B2 Y4 4
FIRST a3- Y2 G4 8
SECOND f3- Y4 G2 1
FIRST b3+ G4 R2 7
SECOND b3- G2 Y2 2
FIRST a2- R2 R1 8
SECOND e3+ Y2 G4 1
FIRST e4- R2 G1 7
SECOND b4- G4 G1 1
FIRST a1+ Y2 Y1 7
SECOND b4+ G1 R1 1
FIRST b1- B2 G2 7
SECOND c1- R1 R2 1
FIRST b1+ G2 B3 7
SECOND d4+ R2 Y4 1
FIRST b5- Y1 B1 7
SECOND b5+ Y4 B4 1
FIRST c4- Y1 G2 6
SECOND a4+ B2 G3 1
FIRST c4+ G1 B1 6
SECOND a5- B3 Y1 1
FIRST e4+ G2 B4 6
SECOND a5+ B4 R2 1
FIRST c5- B1 Y3 6
SECOND a6- B1 G3 1
FIRST c5+ R1 R4 5
SECOND d5- R2 Y3 1
FIRST c6- B1 Y4 5
SECOND a6+ B3 B1 0
FIRST b6- R4 R3 10
SECOND e5- G3 R1 0
FIRST d5+ B3 R1 5
SECOND f4- G3 G4 0
FIRST b6+ R1 X0 6
SECOND e5+ G4 X0 0
FIRST f4+ R3 X0 4
SECOND d6- B1 X0 0
FIRST f5- Y4 X0 4
SECOND f5+ Y1 X0 0
FIRST e6- B4 X0 3
SECOND f6- Y3 X0 0
FIRST e6+ Y3 X0 2
SECOND d6+ R1 X0 0
FINISH
SCOREFIRST 244
SCORESECOND 216
