[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT R3 G3 Y1 Y2 B1 R2 Y4 G2 B3 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y2 Y2 1727
SECOND d3+ Y4 R1 3
FIRST e2+ Y2 G4 7
SECOND b3- R2 B1 2
FIRST d3- G4 G3 7
SECOND b3+ R1 B2 3
FIRST b4- Y1 B4 8
SECOND d2+ G2 B2 3
FIRST b4+ B1 G1 9
SECOND d2- G3 B4 2
FIRST b5- G1 Y3 7
SECOND c4- B3 G2 2
FIRST c4+ G3 B1 7
SECOND c2+ G2 G4 2
FIRST a4+ B1 Y4 7
SECOND c2- G4 R3 2
FIRST c1+ B4 Y1 9
SECOND c3- R3 Y1 2
FIRST a5- Y1 R2 7
SECOND e3+ Y1 Y2 2
FIRST e2- R2 R3 7
SECOND e4- Y2 G3 2
FIRST d1+ R3 B4 8
SECOND b2+ G3 R4 2
FIRST b2- R3 B2 8
SECOND a3+ R4 B4 2
FIRST e1+ B2 R1 8
SECOND c1- B1 B1 2
FIRST a5+ R1 G1 7
SECOND b1+ B2 Y3 1
FIRST a6- G1 B3 8
SECOND d4+ Y3 R2 2
FIRST a3- B4 R4 9
SECOND b1- B4 B3 1
FIRST c5- Y3 Y4 7
SECOND a1+ B2 G4 1
FIRST c5+ G3 B2 7
SECOND a2- B4 G1 1
FIRST d5- B3 R2 7
SECOND a2+ B1 Y3 2
FIRST e1- R2 R1 8
SECOND e4+ Y3 Y4 1
FIRST f2- B2 Y3 7
SECOND e5- Y4 G1 1
FIRST a6+ R1 G2 7
SECOND b5+ G4 R4 1
FIRST f1- G2 G2 7
SECOND b6- G1 R3 1
FIRST f1+ G2 G4 6
SECOND b6+ G1 R1 1
FIRST c6- Y3 R4 6
SECOND f2+ B3 Y1 1
FIRST d5+ R4 B3 6
SECOND e5+ Y1 Y2 0
FIRST d6- G4 X0 5
SECOND e6- Y2 X0 0
FIRST d6+ R4 X0 4
SECOND f3- R2 X0 0
FIRST f4- B3 X0 3
SECOND f4+ R4 X0 0
FIRST f5+ Y4 X0 4
SECOND f5- R3 X0 0
FIRST f6- Y4 X0 4
SECOND e6+ R1 X0 0
FINISH
SCOREFIRST 314
SCORESECOND 276
