[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT B2 R1 B2 Y2 G1 R4 B2 B1 B4 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y2 B4 1663
SECOND d2- R4 G3 3
FIRST d3+ B2 G4 7
SECOND d3- B1 Y4 3
FIRST d1+ G4 G1 8
SECOND d2+ B2 Y1 3
FIRST c2+ B4 B1 7
SECOND e2- B4 Y3 3
FIRST e3+ B2 G4 7
SECOND e2+ B3 G4 3
FIRST e1- G4 Y1 7
SECOND e1+ G3 Y4 2
FIRST b4+ G1 G2 7
SECOND f1- G4 G1 2
FIRST b5- Y1 R1 7
SECOND f1+ G1 B2 2
FIRST b5+ B1 Y3 7
SECOND f2- B2 G4 1
FIRST f2+ G2 R2 7
SECOND b4- G4 R3 1
FIRST f3- R2 Y1 7
SECOND a5+ Y4 R4 1
FIRST c5- G1 R3 7
SECOND a5- Y1 R3 1
FIRST c5+ R1 B1 7
SECOND a4+ Y3 Y2 1
FIRST c6- Y1 R4 7
SECOND a6- Y2 Y1 1
FIRST b6- R1 R2 7
SECOND a6+ Y4 R1 1
FIRST b6+ B1 R3 7
SECOND d5- R3 G2 1
FIRST c2- R4 G2 7
SECOND d4+ R4 B1 1
FIRST e4- G2 B3 7
SECOND d5+ R1 R2 1
FIRST e4+ R2 Y4 6
SECOND e5- R3 G3 1
FIRST b2+ Y4 Y4 7
SECOND e5+ R2 Y2 1
FIRST c1+ Y4 Y2 6
SECOND b3+ G2 B4 1
FIRST f4- Y2 Y3 6
SECOND b3- G3 G1 1
FIRST a3+ R3 B4 6
SECOND c3- G1 B3 1
FIRST b2- B4 G3 5
SECOND a2+ B1 R2 0
FIRST a3- Y3 G3 5
SECOND d6- R2 R1 0
FIRST f6- R3 B3 5
SECOND d6+ R1 Y3 0
FIRST e6+ B3 R4 5
SECOND b1+ B3 G2 0
FIRST c1- R4 X0 4
SECOND c4- G2 X0 0
FIRST b1- G3 X0 4
SECOND a2- B4 X0 0
FIRST a1+ G3 X0 3
SECOND f4+ Y1 X0 0
FIRST f5+ B3 X0 3
SECOND f5- Y2 X0 0
FIRST e6- Y3 X0 2
SECOND c4+ Y3 X0 0
FINISH
SCOREFIRST 290
SCORESECOND 266
