[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT G2 G2 B1 R4 R4 R4 G4 G2 B2 Y1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 B4 1731
SECOND d3+ R4 R2 2
FIRST e2+ B4 B2 7
SECOND d3- R2 Y4 2
FIRST e2- R4 Y1 7
SECOND f2- B2 G1 2
FIRST f2+ G2 Y2 10
SECOND f3- G4 R2 2
FIRST f1+ B2 Y4 7
SECOND d2+ R2 Y2 3
FIRST e3+ Y4 B3 10
SECOND e4- Y1 Y4 2
FIRST d2- G2 Y4 8
SECOND d4+ Y4 B2 2
FIRST e1+ Y4 R3 7
SECOND d5- Y2 R3 2
FIRST c2+ Y2 R2 7
SECOND c5+ Y4 B4 1
FIRST c2- R2 B4 7
SECOND f1- B2 B1 2
FIRST e1- B4 R1 8
SECOND b2+ R3 Y1 1
FIRST b2- R3 G3 8
SECOND c5- Y1 B3 1
FIRST e4+ R1 B1 8
SECOND d1+ G1 G2 2
FIRST c4+ B1 G4 7
SECOND c4- B4 Y3 1
FIRST f4- B1 Y3 8
SECOND d5+ Y3 R1 1
FIRST f4+ Y1 G3 7
SECOND b3- R1 G3 1
FIRST b4+ G4 R1 7
SECOND b4- G2 B1 1
FIRST f5- R1 Y2 7
SECOND b3+ G3 G1 2
FIRST c1+ Y2 B3 7
SECOND c3- G1 G3 1
FIRST b1+ G3 G1 7
SECOND b5- G2 B4 1
FIRST e5- G1 R3 7
SECOND b5+ G3 R1 1
FIRST b6- B3 Y3 7
SECOND a2+ R1 R3 1
FIRST b1- Y3 Y1 7
SECOND a3- R3 Y3 1
FIRST e5+ Y1 G4 7
SECOND c6- Y3 G4 1
FIRST b6+ G3 B2 6
SECOND a4+ G4 B3 1
FIRST c1- B2 R2 5
SECOND a6+ B1 Y2 1
FIRST a1+ B3 G1 5
SECOND d6- Y2 R4 0
FIRST e6- G1 X0 5
SECOND a3+ R4 X0 0
FIRST a2- Y3 X0 4
SECOND a6- B3 X0 0
FIRST a5+ R3 X0 3
SECOND d6+ B4 X0 0
FIRST f5+ G4 X0 3
SECOND e6+ B3 X0 0
FIRST f6- R2 X0 3
SECOND a5- B1 X0 0
FINISH
SCOREFIRST 278
SCORESECOND 264
