[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y1 Y2 G4 G3 B2 B2 Y3 Y1 R2 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G3 R1 1715
SECOND d3+ G3 B1 4
FIRST a3+ Y2 G2 8
SECOND b3- Y3 Y2 2
FIRST a3- B2 G1 8
SECOND b3+ Y1 Y4 3
FIRST b4- G1 R4 7
SECOND c3- Y2 Y3 3
FIRST b4+ R1 R3 8
SECOND c2+ Y4 G2 2
FIRST d2- G4 B3 7
SECOND c2- Y3 R3 2
FIRST b2+ R3 Y2 8
SECOND d3- G2 R4 2
FIRST b2- B3 G3 8
SECOND a2+ B1 B4 3
FIRST d2+ R4 G1 8
SECOND b1+ B2 G2 2
FIRST c1+ G3 Y4 7
SECOND c1- B4 R1 2
FIRST b1- Y2 G2 7
SECOND e3+ G2 Y2 2
FIRST a4+ Y1 B1 7
SECOND b5- R2 Y1 2
FIRST a5- G1 R2 7
SECOND b5+ R3 B3 1
FIRST a5+ B1 B1 7
SECOND a2- B3 R3 1
FIRST c4- B1 Y3 7
SECOND c5- R4 R2 1
FIRST e2+ Y3 Y4 7
SECOND c4+ R3 G1 1
FIRST d1+ Y4 B4 7
SECOND c5+ R1 Y4 2
FIRST e1- B4 R2 9
SECOND d5- R2 G4 1
FIRST e1+ Y4 G4 7
SECOND e4- G1 B2 1
FIRST e2- G4 R1 7
SECOND a1+ B2 B3 1
FIRST a6- R1 B2 7
SECOND d4+ G4 R4 1
FIRST d5+ G2 Y1 6
SECOND b6- R4 B1 1
FIRST a6+ Y1 R4 7
SECOND f2- Y2 G1 1
FIRST f1- R4 B4 6
SECOND f3- G1 R1 1
FIRST f1+ B4 R3 6
SECOND b6+ R1 B4 1
FIRST f2+ R2 Y3 5
SECOND d6- Y1 G3 0
FIRST e5- B2 B3 5
SECOND e4+ G3 G4 0
FIRST f4- Y3 X0 5
SECOND e5+ B3 X0 0
FIRST f4+ B3 X0 4
SECOND f5- B1 X0 0
FIRST e6- R3 X0 3
SECOND f5+ B4 X0 0
FIRST c6- G2 X0 3
SECOND d6+ Y4 X0 0
FIRST f6- R2 X0 2
SECOND e6+ G4 X0 0
FINISH
SCOREFIRST 258
SCORESECOND 288
