[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R1 Y1 B1 B2 B4 R4 B3 G3 R1 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B2 Y3 1699
SECOND d3+ B3 G2 2
FIRST d3- Y3 Y3 6
SECOND e3+ B3 R2 2
FIRST e4- Y3 B3 7
SECOND b3- R4 B4 2
FIRST e4+ B3 R1 7
SECOND e2+ B4 Y1 3
FIRST a3+ B4 B2 7
SECOND b3+ R1 B1 4
FIRST b4- Y1 B3 8
SECOND e2- B1 R2 4
FIRST b4+ B1 G2 9
SECOND c3- R2 B1 2
FIRST e5- B3 R3 8
SECOND f2- B1 G2 2
FIRST d4+ R3 Y4 8
SECOND b2+ R2 B4 2
FIRST b2- G2 R4 8
SECOND d2+ B4 R1 2
FIRST a3- Y4 Y2 8
SECOND c2- R1 Y1 2
FIRST e1+ R1 R3 7
SECOND a2+ G3 Y4 2
FIRST d5+ R3 G1 7
SECOND a2- G2 R4 2
FIRST a1+ B2 Y1 7
SECOND c2+ R4 Y2 1
FIRST a4+ R1 G3 7
SECOND b1+ G2 G4 1
FIRST b1- Y2 G4 7
SECOND c1- G4 R3 1
FIRST d5- G3 Y4 8
SECOND d2- R3 B2 1
FIRST c4- Y1 B4 8
SECOND f3- B2 R3 1
FIRST c4+ G1 G1 7
SECOND c1+ R3 G1 1
FIRST a5- G1 G4 7
SECOND c5+ G1 B2 1
FIRST a5+ R4 G2 6
SECOND f2+ B2 Y3 1
FIRST b5- B4 Y2 6
SECOND a6- Y1 G3 1
FIRST b5+ G4 G3 6
SECOND c5- G3 G4 1
FIRST d6- G3 R2 6
SECOND c6- G4 G1 1
FIRST b6- Y4 R2 5
SECOND b6+ G1 Y2 1
FIRST a6+ G4 B1 5
SECOND d1+ Y1 Y4 0
FIRST e1- B1 R4 5
SECOND d6+ Y4 Y3 0
FIRST e6- R4 X0 5
SECOND e5+ Y2 X0 0
FIRST f5- R2 X0 4
SECOND e6+ Y3 X0 0
FIRST f5+ R2 X0 3
SECOND f6- Y4 X0 0
FIRST f4+ G2 X0 3
SECOND f1- Y2 X0 0
FIRST f4- Y2 X0 2
SECOND f1+ Y3 X0 0
FINISH
SCOREFIRST 256
SCORESECOND 264
