[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G2 G1 G3 B1 B4 R4 R3 R4 B1 G4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B1 Y4 1743
SECOND d3+ B1 B4 2
FIRST d3- G1 G4 6
SECOND e3+ B4 R2 2
FIRST e4- Y4 Y4 7
SECOND d2+ G4 R1 2
FIRST e4+ G4 R4 9
SECOND b2- R4 B3 2
FIRST d4+ B4 R4 8
SECOND e2+ B3 R1 2
FIRST d5- Y4 R1 9
SECOND a2+ R3 Y2 2
FIRST f3- R4 B2 8
SECOND a2- R4 B2 2
FIRST f2+ R4 Y1 8
SECOND e2- B2 Y1 2
FIRST f2- G3 G1 8
SECOND a3- R2 R3 2
FIRST a3+ G2 B4 7
SECOND b1+ R1 B3 2
FIRST c5+ B4 R1 7
SECOND b2+ R1 G3 2
FIRST c2- Y1 B1 7
SECOND b3- R3 Y3 2
FIRST b1- G1 Y3 7
SECOND e1+ B3 G2 2
FIRST e1- Y3 B3 8
SECOND d2- G3 B2 1
FIRST d1+ B3 G2 7
SECOND f1- B2 B1 1
FIRST c2+ R1 Y1 7
SECOND f1+ B1 G1 1
FIRST c1+ B1 B2 7
SECOND d5+ Y2 G3 1
FIRST c1- Y1 R2 7
SECOND e5- Y1 R2 1
FIRST c3- R1 R2 7
SECOND b3+ R2 G4 1
FIRST d6- R2 B3 7
SECOND e5+ Y3 Y1 1
FIRST d6+ B2 R3 14
SECOND f5- Y1 B4 1
FIRST e6- G2 G3 7
SECOND e6+ G1 G2 1
FIRST b4- B2 R3 7
SECOND f6- G2 G1 1
FIRST b4+ R2 G4 6
SECOND f5+ G3 Y2 1
FIRST c6- G4 Y2 5
SECOND f4+ Y2 Y3 1
FIRST b5- Y2 Y2 5
SECOND f4- Y3 Y4 1
FIRST c4- Y2 Y3 5
SECOND b5+ Y4 Y4 1
FIRST a4+ R3 X0 5
SECOND a5+ Y4 X0 0
FIRST a5- R3 X0 5
SECOND b6+ G2 X0 0
FIRST a1+ G3 X0 4
SECOND b6- G1 X0 0
FIRST a6+ B3 X0 3
SECOND a6- B4 X0 0
FIRST c4+ Y3 X0 3
SECOND c5- G4 X0 0
FINISH
SCOREFIRST 288
SCORESECOND 292
