[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B4 R3 B4 G1 G1 G1 G2 Y3 G3 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 G3 1746
SECOND d3+ G2 B3 3
FIRST e2+ G1 Y4 14
SECOND d3- G1 Y4 3
FIRST a3+ R3 Y2 8
SECOND d2+ G3 B1 2
FIRST a3- G3 Y2 7
SECOND b3- Y4 R3 2
FIRST b3+ B4 B1 8
SECOND b4- B3 R1 2
FIRST c3- Y4 R3 7
SECOND b4+ B1 G3 2
FIRST a2+ R3 G4 8
SECOND e2- G3 R3 2
FIRST b2+ B4 B3 10
SECOND c4- B3 R2 2
FIRST b2- G4 R1 9
SECOND c2+ Y3 B4 2
FIRST d2- B3 G4 8
SECOND c4+ B4 G4 2
FIRST c2- G4 R2 8
SECOND e3+ G4 B4 2
FIRST b5- R1 R4 9
SECOND a4+ B4 Y3 2
FIRST b1+ R4 Y4 9
SECOND a5+ R3 R2 2
FIRST b1- Y4 R4 9
SECOND a5- R1 R4 2
FIRST a1+ R4 Y1 8
SECOND a2- R2 Y2 1
FIRST b5+ B1 B2 8
SECOND a6- R2 R1 2
FIRST c5- Y1 B1 8
SECOND a6+ R3 R4 1
FIRST b6- B1 Y3 8
SECOND c5+ Y3 B1 1
FIRST d1+ Y3 R1 8
SECOND d5- Y2 Y4 1
FIRST b6+ R1 Y1 8
SECOND d4+ Y4 G2 1
FIRST c6- Y1 B2 8
SECOND e4- G2 Y1 1
FIRST e4+ B2 B3 7
SECOND d5+ Y1 Y2 1
FIRST e1- B3 R2 7
SECOND d6- Y2 B2 1
FIRST d6+ R2 G3 6
SECOND e1+ B1 Y1 1
FIRST e6- B2 G2 6
SECOND e5- Y1 G1 1
FIRST f4- R2 Y3 6
SECOND f3- G1 G4 1
FIRST e6+ G2 G2 8
SECOND f2- G4 B2 1
FIRST f6- Y2 X0 6
SECOND f1- B2 X0 1
FIRST f4+ G2 X0 7
SECOND f1+ B2 X0 0
FIRST f5- Y2 X0 4
SECOND c1- R1 X0 0
FIRST f2+ Y3 X0 4
SECOND c1+ R4 X0 0
FIRST e5+ G3 X0 4
SECOND f5+ R4 X0 0
FINISH
SCOREFIRST 278
SCORESECOND 288
