[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G4 B2 B4 G1 R4 G4 R3 R4 R2 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G1 B4 1724
SECOND d3+ G4 R4 4
FIRST d3- G4 R1 7
SECOND d2- R3 B1 3
FIRST d2+ R4 G2 7
SECOND c2+ R4 R1 4
FIRST c3- B4 B3 9
SECOND c2- R2 Y1 2
FIRST b3+ B4 G3 9
SECOND b2+ R4 Y4 3
FIRST c1+ B2 G1 7
SECOND b3- R1 G3 2
FIRST e2+ R1 R2 8
SECOND e3+ G3 B4 2
FIRST c1- G2 R2 7
SECOND b4- B3 Y3 2
FIRST b1+ R2 Y2 7
SECOND b4+ B1 B3 2
FIRST b1- Y2 R3 8
SECOND c4- B4 R3 2
FIRST a1+ R2 R3 7
SECOND b2- R3 B2 2
FIRST a3+ G1 Y4 7
SECOND c4+ B3 Y3 1
FIRST d1+ B3 Y2 7
SECOND c5- B2 G4 1
FIRST a2- Y2 G2 7
SECOND e4- G4 R2 1
FIRST a2+ G2 G4 8
SECOND e2- R2 Y2 1
FIRST d4+ Y4 B3 7
SECOND d5- Y1 G1 1
FIRST e1- B3 B1 7
SECOND e4+ G1 B4 1
FIRST e1+ G3 Y3 8
SECOND c5+ B4 Y1 1
FIRST f1- R3 G3 7
SECOND d5+ Y4 G1 2
FIRST f1+ Y3 Y1 7
SECOND f3- G1 R1 1
FIRST f2- G3 B2 7
SECOND d6- Y3 Y4 1
FIRST a3- B2 Y1 6
SECOND e5- Y3 G2 1
FIRST f2+ R3 Y4 6
SECOND f4- G2 B1 2
FIRST c6- G4 R1 6
SECOND b5+ B1 G2 1
FIRST b5- R1 B1 6
SECOND f4+ G2 G3 1
FIRST a5+ B1 Y3 5
SECOND f5- G3 B2 1
FIRST a5- Y1 R4 5
SECOND a4+ B2 Y2 1
FIRST a6- Y1 X0 5
SECOND d6+ Y2 X0 0
FIRST a6+ B1 X0 4
SECOND e5+ Y1 X0 0
FIRST b6+ Y4 X0 3
SECOND e6- Y4 X0 0
FIRST e6+ R4 X0 3
SECOND b6- Y2 X0 0
FIRST f5+ Y3 X0 2
SECOND f6- R1 X0 0
FINISH
SCOREFIRST 264
SCORESECOND 396
