[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G4 Y1 Y4 B3 G3 B2 R3 Y1 G2 G4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B3 Y2 1705
SECOND d3+ B2 R4 3
FIRST d3- Y2 R4 7
SECOND d2+ Y1 B1 3
FIRST d2- Y1 G3 8
SECOND e3+ B1 G1 3
FIRST e2+ G3 G2 8
SECOND e2- G2 B2 3
FIRST f2- G3 G2 8
SECOND e4- B2 Y4 3
FIRST e4+ G2 B1 9
SECOND c2+ Y4 B3 3
FIRST d4+ G2 Y3 9
SECOND f3- B3 G1 2
FIRST f2+ Y3 R1 7
SECOND e1+ G4 G3 2
FIRST d1+ B1 B2 8
SECOND e1- G3 Y2 2
FIRST d5- B2 Y1 8
SECOND f1- G1 B4 1
FIRST c2- R4 B4 8
SECOND f1+ G1 R4 1
FIRST b2+ G4 Y4 9
SECOND c3- Y2 R1 1
FIRST b2- B4 R4 8
SECOND c5+ B4 R2 2
FIRST b3- Y4 R3 8
SECOND c1+ R3 B3 1
FIRST a2+ Y4 R1 8
SECOND c1- R4 B1 1
FIRST b1+ R4 R2 7
SECOND b1- R1 Y2 1
FIRST d5+ R2 G1 7
SECOND b3+ Y2 G3 1
FIRST a1+ Y1 B4 7
SECOND c5- B3 G2 1
FIRST a2- B4 G4 7
SECOND c4+ B1 G4 1
FIRST a3- G4 R2 7
SECOND a3+ G3 Y3 1
FIRST e5- R2 G1 7
SECOND b4- Y3 Y3 1
FIRST b4+ R3 Y3 7
SECOND a4+ Y3 R3 1
FIRST c4- G1 B2 6
SECOND e5+ R4 Y1 1
FIRST d6- B2 R3 7
SECOND a5- Y1 B4 1
FIRST b5- Y3 Y2 6
SECOND b5+ B4 Y4 1
FIRST f4- Y2 B3 6
SECOND a5+ Y4 R1 0
FIRST c6- R1 B1 5
SECOND e6- R2 R2 0
FIRST b6+ G1 X0 5
SECOND d6+ R3 X0 0
FIRST b6- R1 X0 4
SECOND f5- R1 X0 0
FIRST a6+ B1 X0 3
SECOND f5+ R2 X0 0
FIRST f6- B3 X0 3
SECOND f4+ G4 X0 0
FIRST a6- R3 X0 2
SECOND e6+ G2 X0 0
FINISH
SCOREFIRST 272
SCORESECOND 342
