[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y1 R2 G2 B3 Y1 Y3 B4 Y4 Y4 R1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B3 R4 1700
SECOND d3+ B4 G4 3
FIRST d3- R4 B4 8
SECOND d2+ R1 R4 5
FIRST e2- Y1 B1 13
SECOND d2- R4 R3 3
FIRST e2+ B1 B4 10
SECOND c2+ R3 B2 4
FIRST d1+ B4 G3 10
SECOND e3+ B2 B3 2
FIRST c2- G3 G4 8
SECOND e4- B3 R3 2
FIRST e1- G4 R1 8
SECOND c3- R3 R1 2
FIRST f3- G2 G1 9
SECOND b3+ R1 Y2 2
FIRST f2+ R2 Y4 9
SECOND b2+ G4 B1 2
FIRST f2- Y1 B1 9
SECOND d4+ B1 B2 2
FIRST e1+ R1 R2 9
SECOND d5- B2 Y1 2
FIRST f1- G1 G3 9
SECOND f1+ Y3 Y1 2
FIRST b3- B4 G2 8
SECOND a3- Y4 Y3 2
FIRST a3+ Y4 R3 8
SECOND a2+ Y2 B4 1
FIRST c1+ R3 Y2 8
SECOND d5+ B4 G4 2
FIRST c1- G3 R1 8
SECOND a2- Y4 G3 1
FIRST b4- B1 Y3 8
SECOND b2- Y1 G1 1
FIRST c5+ R2 B2 8
SECOND a1+ Y1 G1 1
FIRST c5- Y2 B3 8
SECOND b1- Y3 G2 1
FIRST b1+ B3 R3 8
SECOND a4+ G4 B1 1
FIRST b4+ R1 G4 8
SECOND e4+ B1 G3 1
FIRST d6- G4 Y4 8
SECOND a5- G3 R2 1
FIRST c6- B2 G1 7
SECOND a5+ G1 R4 1
FIRST b5- G1 Y2 7
SECOND b5+ G3 R2 1
FIRST b6+ G2 Y3 6
SECOND b6- G1 B3 1
FIRST d6+ Y4 B2 6
SECOND e5- B3 G2 0
FIRST c4+ B2 R4 5
SECOND a6- G2 Y2 0
FIRST c4- Y2 X0 5
SECOND a6+ G2 X0 0
FIRST e5+ Y3 X0 4
SECOND e6- Y2 X0 0
FIRST f5- R3 X0 3
SECOND f4+ R2 X0 0
FIRST f5+ Y3 X0 3
SECOND f4- R4 X0 0
FIRST f6- R4 X0 3
SECOND e6+ R2 X0 0
FINISH
SCOREFIRST 246
SCORESECOND 316
