[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B4 B2 Y3 R1 Y2 G3 R3 B4 R2 Y2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R1 G4 1801
SECOND d3+ R3 G4 2
FIRST d3- Y3 G2 7
SECOND e3+ R2 G1 2
FIRST e4- B2 R2 7
SECOND d2+ Y2 B3 2
FIRST d4+ Y2 Y1 8
SECOND e4+ B4 G4 2
FIRST f3- G2 R1 8
SECOND e5- B3 B4 2
FIRST f2+ R2 R2 8
SECOND d5+ B4 B1 2
FIRST d5- R2 G2 8
SECOND e5+ B1 B1 2
FIRST c5+ G2 G3 8
SECOND d6- B1 B2 2
FIRST d6+ Y1 Y2 7
SECOND e6- B2 Y1 2
FIRST c6- Y2 Y4 8
SECOND d2- Y1 B2 2
FIRST f4- Y4 R4 8
SECOND f5- B2 Y4 2
FIRST d1+ R1 G1 7
SECOND c2+ Y4 Y2 2
FIRST e1- G1 B3 8
SECOND c2- Y2 G3 1
FIRST f4+ R4 G4 8
SECOND c5- G3 Y3 1
FIRST b5+ G3 Y3 7
SECOND c3- Y3 Y1 1
FIRST b5- B3 G1 7
SECOND b3+ Y1 G2 1
FIRST b6- Y3 B3 7
SECOND c4+ G4 R4 1
FIRST a6+ B3 B4 8
SECOND c4- G1 Y4 1
FIRST e1+ G1 B1 7
SECOND b3- Y4 R4 1
FIRST e2- B1 Y1 6
SECOND b4+ G4 R2 1
FIRST e2+ Y1 R4 6
SECOND b4- G3 B3 1
FIRST a3+ G4 G3 6
SECOND e6+ B3 R1 1
FIRST a5+ G3 R3 6
SECOND a4+ G2 R3 1
FIRST a6- R3 B1 5
SECOND f2- R4 G2 1
FIRST f1- B1 R3 5
SECOND a5- G2 G1 1
FIRST b6+ R3 B2 5
SECOND f1+ R2 R1 0
FIRST b2+ B4 Y4 5
SECOND a3- G1 Y3 0
FIRST b2- G4 X0 4
SECOND c1+ Y3 X0 0
FIRST a2+ B4 X0 4
SECOND a1+ R4 X0 0
FIRST a2- Y4 X0 3
SECOND b1- R1 X0 0
FIRST b1+ R4 X0 3
SECOND c1- R1 X0 0
FIRST f5+ B2 X0 2
SECOND f6- R3 X0 0
FINISH
SCOREFIRST 304
SCORESECOND 344
