[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B2 Y3 G4 R3 G3 Y3 R4 R1 G4 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 Y4 1727
SECOND d3+ R4 R2 3
FIRST d3- G4 Y2 8
SECOND e3+ R1 Y3 2
FIRST e2+ G3 G3 7
SECOND e4- R2 G2 3
FIRST f2- Y3 R4 8
SECOND d2+ G3 G4 3
FIRST e2- G3 R4 9
SECOND d2- G4 B2 2
FIRST d1+ R4 B1 8
SECOND c2+ G2 B4 2
FIRST c2- Y2 B4 8
SECOND c3- G4 Y1 2
FIRST b3+ B4 G1 8
SECOND b3- B2 R1 2
FIRST b2+ B2 G2 8
SECOND d4+ R1 G2 2
FIRST a3+ G2 G2 8
SECOND e1+ G2 B1 2
FIRST b2- G2 B4 8
SECOND b4- B1 G1 2
FIRST f3- B1 R3 8
SECOND e1- G1 B3 2
FIRST f1+ R3 R1 8
SECOND b4+ B4 B3 2
FIRST f2+ G1 B3 8
SECOND b5- B3 Y1 1
FIRST f1- B3 Y3 7
SECOND c4- B3 B2 1
FIRST c4+ Y3 B1 8
SECOND b5+ B2 Y4 1
FIRST a4+ R1 R2 7
SECOND c1+ Y3 R3 1
FIRST a2+ R2 B3 7
SECOND d5- R3 G3 1
FIRST a5- B1 R1 7
SECOND c1- Y1 R3 1
FIRST a5+ R1 Y1 7
SECOND e4+ R3 R2 1
FIRST a6- Y1 B2 8
SECOND d5+ R2 Y4 1
FIRST a3- B2 Y1 6
SECOND b1+ Y3 B4 1
FIRST a6+ Y1 G1 6
SECOND c5- B4 B1 1
FIRST b6- G1 Y4 6
SECOND c5+ B1 R4 1
FIRST e5- B3 G4 6
SECOND d6- R4 Y2 0
FIRST d6+ B4 R2 5
SECOND b1- Y1 Y2 0
FIRST a2- R2 Y2 5
SECOND a1+ Y4 G1 0
FIRST e6- R4 X0 5
SECOND b6+ G3 X0 0
FIRST e6+ Y4 X0 4
SECOND c6- G1 X0 0
FIRST f6- Y4 X0 4
SECOND f5+ Y2 X0 0
FIRST e5+ G4 X0 3
SECOND f5- Y2 X0 0
FIRST f4+ Y2 X0 2
SECOND f4- Y4 X0 0
FINISH
SCOREFIRST 274
SCORESECOND 368
