[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G4 R2 B4 R2 G2 R3 Y3 R1 R2 B1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R2 Y4 1689
SECOND d3+ R3 G1 3
FIRST e3+ R2 B3 7
SECOND d3- R1 G2 2
FIRST f3- G2 R3 6
SECOND d2+ R2 G4 2
FIRST f2+ G4 R4 7
SECOND f2- G1 B2 3
FIRST b4+ Y4 Y3 7
SECOND e2+ G4 Y2 2
FIRST b5- R4 Y4 7
SECOND f1+ G2 Y4 2
FIRST e2- B4 B3 7
SECOND b4- Y3 B2 2
FIRST b3+ B3 R1 8
SECOND c4- Y2 B3 2
FIRST b3- B3 B2 8
SECOND c4+ Y4 G3 2
FIRST a3+ Y3 Y2 8
SECOND f1- G3 R2 2
FIRST a3- R3 G1 8
SECOND d2- R2 B1 2
FIRST c2+ B2 G2 8
SECOND c3- B1 R4 1
FIRST c2- Y2 Y1 7
SECOND e4- R4 B4 2
FIRST c1+ G2 G3 8
SECOND b2+ B1 G1 1
FIRST a2+ G3 B2 7
SECOND e1+ G1 R4 1
FIRST c1- B2 Y2 7
SECOND d1+ R4 G2 1
FIRST b1+ Y2 G1 7
SECOND e1- G2 G4 1
FIRST b2- Y1 R3 7
SECOND a2- G4 Y2 1
FIRST a4+ R3 G3 7
SECOND c5- Y2 Y1 1
FIRST a5- G3 Y3 6
SECOND c5+ Y1 Y1 1
FIRST a5+ Y3 B1 6
SECOND b5+ Y1 B4 1
FIRST c6- R1 B1 6
SECOND d4+ B2 R3 1
FIRST b6+ B1 R1 6
SECOND e4+ R3 G3 1
FIRST b6- G1 B4 5
SECOND a1+ G3 B3 1
FIRST a6+ R1 R4 5
SECOND d5- B3 Y3 1
FIRST a6- B1 Y1 5
SECOND d5+ B2 R1 0
FIRST e5+ Y4 G4 5
SECOND e5- R1 Y4 0
FIRST f5- R4 X0 4
SECOND d6- B4 X0 0
FIRST f4+ G4 X0 4
SECOND d6+ B3 X0 0
FIRST f4- B4 X0 3
SECOND e6- B4 X0 0
FIRST f6- Y1 X0 3
SECOND b1- Y4 X0 0
FIRST e6+ G1 X0 2
SECOND f5+ Y3 X0 0
FINISH
SCOREFIRST 254
SCORESECOND 316
