[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B3 G2 B2 Y1 B1 R2 G3 G1 R4 G1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 R4 1706
SECOND d2- R2 B1 2
FIRST d2+ B2 Y1 6
SECOND c2+ R4 B3 2
FIRST e2+ B1 R4 8
SECOND e2- B3 Y3 2
FIRST d3+ Y1 B2 7
SECOND e1+ B1 B3 2
FIRST d1+ B2 Y2 8
SECOND e1- B3 G4 3
FIRST d3- G2 R2 8
SECOND e3+ Y3 Y1 2
FIRST c3- R4 G1 8
SECOND e4- Y1 Y3 2
FIRST f2- G1 R3 8
SECOND d4+ Y3 Y4 2
FIRST b3+ R4 Y2 7
SECOND d5- Y4 R1 2
FIRST f3- R3 Y3 8
SECOND b3- R1 G4 2
FIRST f2+ B3 R3 8
SECOND f1+ G3 B4 1
FIRST f1- R3 G4 8
SECOND a3- G1 R2 2
FIRST c5+ G4 G3 7
SECOND b4- R2 G2 1
FIRST a4+ Y2 R1 7
SECOND a2+ G4 Y1 2
FIRST a5- R2 B1 8
SECOND d5+ Y1 B2 2
FIRST a3+ B1 G3 8
SECOND b2- G1 B4 1
FIRST b2+ R1 R2 7
SECOND b1+ G4 R3 1
FIRST b4+ Y2 G4 8
SECOND c2- R3 G3 1
FIRST b5- R2 Y3 7
SECOND a2- G2 R4 1
FIRST c5- G4 R1 7
SECOND c1+ R4 B1 1
FIRST d6- R1 B3 7
SECOND c1- G3 B2 1
FIRST c6- G3 B4 6
SECOND a5+ B4 R3 1
FIRST b5+ B4 Y4 7
SECOND d6+ R3 G2 1
FIRST b6- Y4 Y4 6
SECOND b1- G2 Y4 1
FIRST c4+ Y4 G2 7
SECOND e4+ Y4 Y2 1
FIRST c4- G2 G1 5
SECOND e5- Y2 R1 1
FIRST e6- Y3 B4 9
SECOND a6- B2 Y2 1
FIRST b6+ B4 X0 5
SECOND e5+ Y2 X0 0
FIRST e6+ G3 X0 4
SECOND a6+ B1 X0 0
FIRST f6- Y3 X0 3
SECOND f4- B2 X0 0
FIRST f5+ B3 X0 3
SECOND f4+ B4 X0 0
FIRST f5- G1 X0 4
SECOND a1+ R1 X0 0
FINISH
SCOREFIRST 218
SCORESECOND 336
