[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B1 Y2 G1 Y4 B2 R4 G3 Y1 Y1 G2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 B4 1708
SECOND d3+ Y1 R3 4
FIRST d3- B1 Y3 8
SECOND e3+ Y1 G4 3
FIRST e4- G1 R1 8
SECOND d4+ G3 G1 3
FIRST e4+ R1 Y1 8
SECOND d5- G2 R3 3
FIRST c5+ Y2 Y1 8
SECOND d5+ G4 Y2 2
FIRST c6- B2 G4 8
SECOND d6- G1 Y2 2
FIRST e2+ B4 G1 7
SECOND f3- Y2 B1 2
FIRST d6+ Y1 G4 7
SECOND f2+ Y2 R2 2
FIRST e2- G4 G3 7
SECOND e5- R3 R1 2
FIRST e5+ Y3 B2 8
SECOND f4- R4 R1 2
FIRST e6- G1 Y3 7
SECOND f4+ R3 B2 2
FIRST f5- G3 Y4 7
SECOND d2+ B2 Y4 1
FIRST f2- G4 R3 8
SECOND d2- B1 B3 2
FIRST f5+ Y3 G2 7
SECOND c2+ B3 G3 1
FIRST f6- R3 B1 7
SECOND c5- Y4 G2 1
FIRST b6+ G2 Y2 7
SECOND b6- G3 B4 1
FIRST e6+ B1 R4 7
SECOND c2- B4 G1 1
FIRST e1+ Y4 R2 7
SECOND b5+ G2 B3 1
FIRST e1- R4 R3 7
SECOND b2+ B3 Y4 1
FIRST d1+ Y1 G3 6
SECOND b5- G1 G4 1
FIRST b2- R3 B3 6
SECOND b4+ G4 B1 1
FIRST a2+ B3 R2 6
SECOND b3- B1 B4 1
FIRST a3- G3 R4 6
SECOND b3+ B4 Y3 1
FIRST f1- R4 B4 6
SECOND c4+ Y3 B2 1
FIRST f1+ B4 B3 6
SECOND c3- B2 R2 1
FIRST b1+ B3 G2 6
SECOND c4- Y4 Y3 1
FIRST a3+ Y2 R1 5
SECOND a1+ R2 R4 0
FIRST a2- R2 X0 5
SECOND b1- R1 X0 0
FIRST a5+ R1 X0 4
SECOND a5- R2 X0 0
FIRST a4+ R2 X0 3
SECOND b4- R1 X0 0
FIRST a6- B2 X0 3
SECOND c1- R4 X0 0
FIRST c1+ G2 X0 3
SECOND a6+ Y3 X0 0
FINISH
SCOREFIRST 216
SCORESECOND 238
