[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G2 R3 B3 Y4 G4 R2 B1 R2 Y3 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 B3 1730
SECOND d3+ Y3 B4 3
FIRST d3- R3 Y2 12
SECOND d2+ R2 G1 4
FIRST d2- G2 B4 7
SECOND e2- R2 B3 2
FIRST e2+ B4 R2 7
SECOND c2+ G3 Y3 3
FIRST c2- B3 R1 8
SECOND c3- G1 R3 3
FIRST b3+ R1 R2 9
SECOND e1+ R3 B2 2
FIRST f2- G4 G4 9
SECOND e3+ Y3 R3 2
FIRST c1+ B3 B1 9
SECOND e1- R3 Y2 2
FIRST d1+ Y2 B1 8
SECOND e4- Y2 R4 2
FIRST f2+ G4 Y1 8
SECOND f1- R4 G2 2
FIRST b4- B1 Y2 8
SECOND b2+ B1 B1 2
FIRST b3- Y1 G3 7
SECOND b2- B4 B2 2
FIRST b4+ B1 G1 8
SECOND a2+ B3 Y1 2
FIRST a3+ G1 Y1 8
SECOND a3- B2 G1 1
FIRST b5- Y1 Y3 8
SECOND b1+ B1 Y4 2
FIRST c1- Y3 G3 8
SECOND a2- B2 Y1 1
FIRST d4+ R2 G1 7
SECOND e4+ Y1 Y2 1
FIRST a4+ G1 R1 8
SECOND e5- Y4 B4 1
FIRST a5- R1 B2 7
SECOND b1- B4 Y4 1
FIRST d5- Y2 Y4 7
SECOND d5+ Y1 R1 1
FIRST f1+ Y4 R3 8
SECOND d6- Y2 G4 1
FIRST c5+ R2 Y3 7
SECOND d6+ Y4 G2 1
FIRST c6- B2 G2 7
SECOND f3- G2 G4 1
FIRST b6+ G2 B4 7
SECOND c5- R1 B3 1
FIRST e6- B4 R4 5
SECOND a1+ B3 R1 1
FIRST e5+ R4 R4 5
SECOND c4+ R1 R4 0
FIRST e6+ R4 B2 6
SECOND c4- R4 G3 0
FIRST b6- B2 X0 4
SECOND a5+ G4 X0 0
FIRST f4+ Y3 X0 4
SECOND a6- G1 X0 0
FIRST f5- R3 X0 3
SECOND a6+ G4 X0 0
FIRST f4- G3 X0 3
SECOND b5+ G3 X0 0
FIRST f5+ G3 X0 2
SECOND f6- G2 X0 0
FINISH
SCOREFIRST 288
SCORESECOND 310
