[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R2 Y1 R2 Y2 B2 Y2 R4 Y1 Y1 G1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y2 R1 1812
SECOND d3+ Y1 Y4 3
FIRST e2+ R2 Y3 11
SECOND d3- Y2 R2 3
FIRST f2- R2 B1 10
SECOND d2+ Y1 G4 3
FIRST e2- B2 B4 8
SECOND d2- Y4 B1 3
FIRST d1+ B4 R1 9
SECOND f2+ R4 B1 2
FIRST a3+ R1 Y4 9
SECOND f3- R2 B4 2
FIRST a3- R1 G4 8
SECOND e1+ B1 B2 2
FIRST e1- G4 G3 8
SECOND f1- B4 B3 2
FIRST f1+ Y4 G3 9
SECOND d4+ G1 B3 2
FIRST b3- Y1 G4 8
SECOND d5- G4 Y3 2
FIRST e4- B1 Y4 8
SECOND e3+ Y3 R1 2
FIRST c5+ Y4 B3 10
SECOND a2+ R1 Y2 1
FIRST c5- G4 R4 9
SECOND c2+ Y2 B2 2
FIRST c4+ R4 B1 9
SECOND e4+ B2 Y4 2
FIRST b3+ B1 G2 10
SECOND c2- Y4 G2 2
FIRST f4- G2 Y1 9
SECOND d5+ G2 R1 1
FIRST b4- Y1 R3 9
SECOND b2- R1 G3 1
FIRST d6+ G3 Y2 9
SECOND d6- G3 B4 1
FIRST e5- Y2 R4 8
SECOND c3- B3 G2 1
FIRST c4- R4 R3 8
SECOND e6- G2 R3 1
FIRST b4+ G3 G1 7
SECOND b2+ R3 Y3 1
FIRST a2- G1 B3 8
SECOND c1+ Y3 R3 1
FIRST b5- B3 G1 8
SECOND b1+ R3 G4 1
FIRST a4+ G1 B2 8
SECOND e5+ G4 G3 1
FIRST c1- B3 G2 8
SECOND f5- G3 G1 1
FIRST f4+ B2 Y3 7
SECOND e6+ G1 R2 1
FIRST b1- Y3 B4 6
SECOND b5+ B1 R4 0
FIRST a1+ R3 X0 6
SECOND a5+ B2 X0 0
FIRST c6- B4 X0 5
SECOND a5- B3 X0 0
FIRST a6- G2 X0 4
SECOND b6- B4 X0 0
FIRST f5+ Y3 X0 3
SECOND b6+ R2 X0 0
FIRST f6- R3 X0 3
SECOND a6+ R4 X0 0
FINISH
SCOREFIRST 242
SCORESECOND 282
