[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT G4 Y1 R2 G2 B4 R2 R3 B3 R4 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G2 B1 1771
SECOND d2- R2 B2 3
FIRST d2+ R2 Y4 9
SECOND c2+ R3 Y4 3
FIRST b4+ G4 R3 9
SECOND c2- R4 G1 2
FIRST b4- B4 Y1 9
SECOND b3+ B3 R1 3
FIRST a4+ Y4 R1 7
SECOND c3- R1 B3 2
FIRST b3- R3 G3 7
SECOND c4- G1 Y1 2
FIRST a3+ G3 Y4 7
SECOND a5- Y1 B1 2
FIRST b5- Y4 B3 8
SECOND a5+ Y4 G4 2
FIRST c4+ B1 B1 7
SECOND b5+ Y4 R3 2
FIRST a3- B3 B4 7
SECOND b2+ R3 Y3 2
FIRST a6- B4 G1 8
SECOND c5- Y3 B4 2
FIRST f1+ R1 R3 8
SECOND a2+ B2 B4 2
FIRST c5+ R3 R2 7
SECOND a2- B3 Y2 1
FIRST f2- Y1 B3 8
SECOND b6- Y2 G3 1
FIRST f2+ Y1 Y3 8
SECOND b2- B1 G4 1
FIRST e2+ B1 G3 7
SECOND b1+ B4 R4 1
FIRST c6- B3 R4 7
SECOND d3- R4 G2 1
FIRST a6+ R4 Y2 7
SECOND a1+ B4 G1 2
FIRST e2- G1 Y2 7
SECOND d3+ G3 Y2 1
FIRST e3+ R2 Y3 7
SECOND b6+ Y2 R2 1
FIRST d5- Y3 B2 6
SECOND c1+ R2 B2 1
FIRST e4- Y2 G2 6
SECOND b1- B2 Y1 1
FIRST d1+ Y2 R1 6
SECOND d4+ Y1 G2 1
FIRST f3- B2 G4 6
SECOND e1+ G4 Y3 1
FIRST d5+ G3 B2 5
SECOND e4+ Y3 G3 1
FIRST e5- Y3 R4 5
SECOND e1- G1 B1 0
FIRST f1- R1 G1 5
SECOND c1- B1 R1 0
FIRST d6+ B2 X0 5
SECOND d6- G4 X0 0
FIRST e6- G2 X0 4
SECOND e6+ G3 X0 0
FIRST f5- G1 X0 3
SECOND e5+ G2 X0 0
FIRST f6- R4 X0 3
SECOND f4+ G2 X0 0
FIRST f5+ G4 X0 3
SECOND f4- R1 X0 0
FINISH
SCOREFIRST 242
SCORESECOND 316
