[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B3 Y3 B1 R3 G4 Y2 Y3 B2 R3 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 Y3 1790
SECOND d3+ R3 B4 3
FIRST e2+ B3 Y2 7
SECOND e2- B2 B4 3
FIRST d3- Y3 R2 9
SECOND d2+ B4 R1 3
FIRST e3+ Y3 B2 9
SECOND d2- B3 Y1 3
FIRST e1+ Y2 R1 7
SECOND c2+ B4 B2 2
FIRST c3- G4 R4 7
SECOND c2- B2 R4 2
FIRST b3+ R4 Y4 7
SECOND b3- R1 G4 2
FIRST a3+ B1 G2 7
SECOND b2+ R4 G1 2
FIRST e1- G2 G1 9
SECOND e4- Y2 G1 2
FIRST d1+ R2 B2 9
SECOND d4+ Y3 R2 2
FIRST a3- G1 R4 8
SECOND b4- R2 R1 2
FIRST f1- B2 B3 7
SECOND b4+ R1 R3 1
FIRST a2+ R1 Y1 8
SECOND b2- R3 G3 1
FIRST f3- B3 G4 7
SECOND d5- Y1 Y3 1
FIRST f1+ B2 B4 7
SECOND c5+ Y3 Y1 1
FIRST a2- Y1 G1 7
SECOND c5- Y1 B1 1
FIRST a1+ G1 Y4 7
SECOND f2- B1 G3 1
FIRST c6- R4 R2 8
SECOND b1- G4 R2 1
FIRST b1+ Y4 G3 6
SECOND c4- R2 B3 1
FIRST f2+ G3 B4 7
SECOND c1+ B3 G4 1
FIRST b6+ B4 Y2 6
SECOND a4+ G1 G2 1
FIRST c1- Y4 G2 6
SECOND a5- G3 Y4 1
FIRST b6- G4 B1 6
SECOND d5+ Y4 B1 1
FIRST b5- B1 G3 6
SECOND a5+ G4 G2 1
FIRST e4+ G2 R1 5
SECOND a6- G1 Y2 1
FIRST b5+ R1 Y1 5
SECOND a6+ G3 Y4 0
FIRST e5- R2 R3 5
SECOND c4+ Y4 R4 0
FIRST f4- Y2 X0 5
SECOND d6- Y2 X0 0
FIRST f4+ R3 X0 5
SECOND e5+ R4 X0 0
FIRST e6- B4 X0 3
SECOND d6+ B1 X0 0
FIRST f5- G3 X0 3
SECOND f5+ G2 X0 0
FIRST f6- Y1 X0 2
SECOND e6+ G2 X0 0
FINISH
SCOREFIRST 212
SCORESECOND 324
