[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R2 R3 R4 G4 B4 G1 G2 B1 Y1 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G4 G2 1699
SECOND d3+ G1 R2 4
FIRST e3+ R4 Y4 8
SECOND d3- G2 R4 2
FIRST f3- B4 G3 8
SECOND e4- R2 R2 2
FIRST e2+ Y4 Y3 7
SECOND d4+ R4 B3 3
FIRST d2+ R2 G1 7
SECOND d5- R2 R3 2
FIRST d2- G2 B1 9
SECOND c5+ R3 R1 2
FIRST c5- G3 Y2 7
SECOND d5+ R1 B4 2
FIRST c2+ Y2 G4 8
SECOND c2- Y1 Y2 2
FIRST c6- Y3 Y1 7
SECOND b2+ Y4 B4 2
FIRST e2- G4 G2 8
SECOND b3- Y2 G4 2
FIRST c3- G2 B2 8
SECOND b3+ G4 R1 2
FIRST d1+ B2 R3 7
SECOND e4+ R1 R4 2
FIRST e5- Y1 R4 9
SECOND d6- R4 Y1 2
FIRST b6+ R3 G1 7
SECOND b2- Y1 Y3 1
FIRST e5+ B1 B1 7
SECOND a2+ Y3 G4 2
FIRST e1+ R4 G3 7
SECOND b4- G4 G3 1
FIRST b6- R3 R1 7
SECOND b4+ G3 G2 1
FIRST b5+ G3 B3 7
SECOND b5- G2 G3 1
FIRST a6+ B3 R1 7
SECOND a4+ G3 B2 1
FIRST f5- B1 Y1 7
SECOND e6- B3 R3 1
FIRST f4+ R1 B4 8
SECOND f4- R3 Y3 1
FIRST e1- B4 B3 7
SECOND a3+ Y3 B3 1
FIRST c4+ B3 B2 7
SECOND d6+ B1 G1 1
FIRST f5+ G1 R2 6
SECOND c4- G1 Y2 1
FIRST f6- R1 Y4 5
SECOND a3- Y2 Y4 1
FIRST e6+ G1 Y3 5
SECOND b1+ Y4 B1 1
FIRST a6- Y3 Y2 5
SECOND f2+ B2 B2 0
FIRST f1- Y4 X0 5
SECOND f2- B3 X0 0
FIRST a5+ B2 X0 4
SECOND f1+ B1 X0 0
FIRST a5- R2 X0 3
SECOND a2- B4 X0 0
FIRST a1+ Y1 X0 3
SECOND c1- B2 X0 0
FIRST c1+ Y2 X0 2
SECOND b1- B4 X0 0
FINISH
SCOREFIRST 306
SCORESECOND 350
