[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R2 G2 B4 G3 Y2 Y2 G2 Y1 Y4 R2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G3 B3 1648
SECOND d3+ G2 G1 2
FIRST d3- G2 Y3 6
SECOND d2+ G1 G4 3
FIRST e2+ Y3 G4 6
SECOND d2- G4 R3 2
FIRST d1+ B4 R1 7
SECOND e2- Y2 R2 2
FIRST e3+ B3 R4 7
SECOND e1+ Y1 B1 2
FIRST e1- R4 Y3 7
SECOND f2- Y4 G3 2
FIRST f2+ G4 B2 10
SECOND c2+ G3 G3 2
FIRST c3- Y3 G1 7
SECOND c2- G3 R1 2
FIRST f1- G1 Y1 7
SECOND e4- B1 R4 2
FIRST f1+ R1 B2 9
SECOND d4+ R2 R3 2
FIRST e4+ Y1 R1 8
SECOND d5- R3 Y3 2
FIRST f4- R1 B1 7
SECOND c5+ R2 Y4 2
FIRST c5- B2 R3 8
SECOND d5+ R1 B3 2
FIRST e5- B1 B3 8
SECOND c6- R4 B4 1
FIRST b3+ B3 R3 7
SECOND d6- R3 R4 1
FIRST b2+ R3 Y4 14
SECOND d6+ R4 B2 1
FIRST b3- R3 B4 8
SECOND f3- B2 B2 1
FIRST b5+ B2 Y2 7
SECOND b5- B3 Y1 1
FIRST b6- R2 G4 7
SECOND b4+ B4 Y2 1
FIRST a6+ Y2 Y1 7
SECOND b4- B2 Y3 1
FIRST b6+ Y2 R4 6
SECOND a6- Y3 B4 1
FIRST e5+ Y1 G1 6
SECOND c4+ B4 G2 1
FIRST e6- G1 G3 6
SECOND c1+ G2 G1 1
FIRST a3+ G3 B1 7
SECOND c1- G1 B1 1
FIRST e6+ B1 G2 6
SECOND c4- B1 B3 1
FIRST a4+ G2 Y4 6
SECOND a5+ B3 G4 1
FIRST f6- Y4 R2 5
SECOND b1+ G4 R1 0
FIRST a5- R2 X0 5
SECOND b2- R1 X0 0
FIRST b1- B4 X0 4
SECOND f5- Y4 X0 0
FIRST f5+ G4 X0 3
SECOND f4+ Y2 X0 0
FIRST a1+ R4 X0 2
SECOND a2+ Y3 X0 0
FIRST a2- Y4 X0 2
SECOND a3- Y1 X0 0
FINISH
SCOREFIRST 244
SCORESECOND 306
