[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y4 R1 Y4 G3 R4 G3 Y3 R2 B4 R1
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G3 G3 1700
SECOND d3+ G3 R3 3
FIRST e2+ G3 Y2 6
SECOND b3- Y3 G1 2
FIRST a3+ R1 Y3 6
SECOND d3- G1 B2 2
FIRST e2- Y3 Y1 6
SECOND a3- R2 R3 2
FIRST d2+ Y1 R3 7
SECOND a2+ R1 R4 2
FIRST e1+ R3 G2 7
SECOND b2- R3 Y2 2
FIRST b4+ Y4 G1 7
SECOND b2+ R4 G4 2
FIRST a2- G1 B1 7
SECOND c2- R3 G2 2
FIRST b4- R4 G4 7
SECOND e3+ G4 Y2 2
FIRST b3+ G4 G1 8
SECOND e4- G2 B3 2
FIRST a1+ B1 B3 7
SECOND d2- Y2 R2 1
FIRST e1- B3 B1 7
SECOND b1+ R2 Y4 2
FIRST c1- Y2 Y3 7
SECOND c2+ Y4 Y4 1
FIRST f1- Y3 R3 7
SECOND c3- Y2 B1 1
FIRST d1+ R3 G2 8
SECOND c1+ Y4 R4 1
FIRST b1- G1 R1 7
SECOND a4+ R4 G3 1
FIRST a5- Y4 R4 7
SECOND d4+ G3 G4 1
FIRST b5- R4 Y2 7
SECOND d5- G4 G2 1
FIRST e4+ Y2 B4 7
SECOND d5+ G2 Y3 1
FIRST a5+ B4 R2 7
SECOND f4- Y3 G1 1
FIRST e5- R2 B3 6
SECOND c5+ G1 R1 1
FIRST f1+ B3 B2 7
SECOND b5+ R1 Y1 1
FIRST c5- B1 B2 7
SECOND f4+ Y1 B2 1
FIRST c6- R1 Y1 6
SECOND a6- B2 Y1 1
FIRST c4+ Y1 R2 5
SECOND f5- Y1 B3 1
FIRST e5+ G2 G4 6
SECOND a6+ B4 B1 0
FIRST e6- B2 B4 5
SECOND b6- B3 B4 0
FIRST d6+ R2 X0 5
SECOND b6+ B2 X0 0
FIRST d6- B2 X0 4
SECOND e6+ B1 X0 0
FIRST c4- B4 X0 3
SECOND f6- B3 X0 0
FIRST f2+ G2 X0 3
SECOND f5+ B4 X0 0
FIRST f3- G4 X0 3
SECOND f2- B1 X0 0
FINISH
SCOREFIRST 288
SCORESECOND 310
