[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT B3 R1 B4 G2 B2 B3 B2 Y3 B1 G3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- G2 B2 1693
SECOND d3+ G3 B4 2
FIRST d3- B3 G4 6
SECOND d2+ B2 R2 2
FIRST e2- B2 R4 6
SECOND d2- B3 R1 2
FIRST e2+ B2 Y3 7
SECOND c2+ B1 Y2 2
FIRST d1+ Y3 G4 7
SECOND c2- B4 R3 2
FIRST c1+ G4 B3 7
SECOND e1- Y2 B2 2
FIRST c1- B4 Y1 7
SECOND c3- B2 R4 2
FIRST b1+ R4 B1 7
SECOND e1+ Y3 B1 2
FIRST b2+ G4 Y3 7
SECOND b3+ B1 Y3 1
FIRST b3- R1 G3 7
SECOND f1- Y3 G2 1
FIRST a3+ Y1 R3 7
SECOND e3+ G2 Y4 1
FIRST a3- B1 Y2 8
SECOND f1+ Y4 G2 1
FIRST e4- Y2 R1 8
SECOND f3- G2 G1 1
FIRST a2+ R1 Y4 7
SECOND f2+ G1 B3 1
FIRST b2- Y4 G3 8
SECOND b4- B3 G4 1
FIRST a4+ Y3 B1 8
SECOND f2- G4 G4 1
FIRST a2- B1 R3 7
SECOND b1- R2 Y1 1
FIRST a5- R3 G1 8
SECOND a1+ R3 G3 1
FIRST b4+ G3 G1 7
SECOND d4+ Y1 R4 1
FIRST c4- R3 B4 8
SECOND b5- G4 G1 1
FIRST a5+ B3 G2 7
SECOND b5+ G3 B4 1
FIRST e4+ G2 Y4 7
SECOND c5- G1 R2 1
FIRST a6- G3 Y1 6
SECOND c4+ R4 Y4 1
FIRST d5- G1 Y2 6
SECOND d5+ R4 Y2 1
FIRST e5- Y2 R2 5
SECOND e5+ Y4 R3 1
FIRST f4- R2 R2 5
SECOND e6- Y2 R1 0
FIRST f4+ R2 R4 9
SECOND f5- R1 Y1 1
FIRST c5+ Y1 X0 6
SECOND d6+ Y1 X0 0
FIRST c6- G1 X0 6
SECOND f5+ R2 X0 0
FIRST d6- R4 X0 5
SECOND f6- R3 X0 0
FIRST a6+ B4 X0 4
SECOND e6+ R1 X0 0
FIRST b6- Y4 X0 3
SECOND b6+ B4 X0 0
FINISH
SCOREFIRST 312
SCORESECOND 270
