[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R4 B4 Y3 B4 B3 R1 Y3 G1 G3 Y2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- B4 Y2 1633
SECOND d2- R1 G2 2
FIRST e2+ R4 Y2 6
SECOND b3- Y3 B3 3
FIRST a3+ Y3 G3 7
SECOND b3+ Y2 B1 2
FIRST a3- B3 R4 8
SECOND d3+ B3 G4 2
FIRST a2+ G3 G1 7
SECOND d3- B1 B3 2
FIRST d2+ G1 Y1 8
SECOND e3+ B3 R3 2
FIRST c2+ Y1 R2 7
SECOND b2- G1 B1 2
FIRST e2- B4 G4 7
SECOND e4- B1 Y3 2
FIRST e1+ R4 B2 7
SECOND c3- Y3 R4 2
FIRST e1- G4 R2 7
SECOND b1+ G3 B4 2
FIRST b4- R2 R3 7
SECOND d4+ B4 R4 1
FIRST b4+ Y2 Y3 7
SECOND a2- G2 Y2 2
FIRST c4- R2 B1 8
SECOND c2- Y2 Y1 2
FIRST d1+ B1 B3 8
SECOND b2+ Y1 G1 2
FIRST a4+ Y2 G2 8
SECOND b1- G4 R3 1
FIRST a5- B2 G1 8
SECOND a1+ G1 R2 1
FIRST a5+ G2 Y4 7
SECOND c4+ R3 R2 1
FIRST f1- Y4 G3 8
SECOND c5- R4 Y1 1
FIRST c1- Y3 Y4 7
SECOND c1+ Y1 R1 1
FIRST f2- Y4 G4 7
SECOND b5+ R3 B4 1
FIRST f1+ G4 B1 7
SECOND e4+ B4 B2 1
FIRST b5- G3 B2 6
SECOND d5- B2 Y4 1
FIRST a6- B2 R3 7
SECOND b6- R4 G4 1
FIRST f3- R3 G2 6
SECOND b6+ R2 B2 1
FIRST a6+ G2 Y1 6
SECOND e5- B2 G3 1
FIRST f2+ R3 R1 5
SECOND c5+ R1 Y4 0
FIRST c6- B1 R1 5
SECOND d5+ Y4 G2 0
FIRST d6+ Y1 X0 5
SECOND d6- Y4 X0 0
FIRST e6- G1 X0 4
SECOND e5+ G4 X0 0
FIRST e6+ R1 X0 3
SECOND f5- G3 X0 0
FIRST f4+ B3 X0 3
SECOND f5+ G2 X0 0
FIRST f6- R1 X0 2
SECOND f4- R2 X0 0
FINISH
SCOREFIRST 254
SCORESECOND 304
