[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT B4 B3 B3 R4 R3 G2 G2 Y1 G4 B4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R4 G4 1719
SECOND d2- G2 G1 4
FIRST e2+ B4 R1 11
SECOND c2+ G4 R3 4
FIRST d3+ G4 Y1 8
SECOND c2- G2 G4 3
FIRST a3+ B3 Y2 9
SECOND b2+ G1 R2 3
FIRST b2- Y1 G3 10
SECOND b3- G4 Y4 2
FIRST a3- R3 G4 8
SECOND e3+ R3 R1 2
FIRST e2- G4 Y3 8
SECOND e4- R2 R3 2
FIRST a2+ B3 Y4 8
SECOND d4+ R1 R2 2
FIRST d2+ Y4 B1 9
SECOND d5- R3 B4 2
FIRST d1+ Y2 Y1 8
SECOND c5+ R2 G3 2
FIRST d5+ G3 Y3 8
SECOND b3+ G3 B2 2
FIRST d6- Y3 Y2 8
SECOND b1+ Y4 B1 2
FIRST c3- Y3 R2 8
SECOND c1- Y1 B3 2
FIRST e1- R2 R4 8
SECOND a2- B4 Y2 2
FIRST d3- R4 G1 8
SECOND b1- Y2 R4 2
FIRST e1+ Y2 R3 8
SECOND c5- R4 G1 1
FIRST d6+ R3 B2 9
SECOND b4- G1 B2 1
FIRST f1- B2 G2 8
SECOND a1+ B1 Y4 2
FIRST f1+ G2 G2 8
SECOND c1+ Y4 B1 1
FIRST f2- G2 G3 7
SECOND a4+ B4 Y3 1
FIRST e6- G3 R2 8
SECOND a5- B2 Y2 1
FIRST f2+ R2 B2 7
SECOND a5+ B3 B3 1
FIRST f3- B2 Y4 6
SECOND b5- B2 G3 1
FIRST b4+ R1 B1 6
SECOND b5+ B1 R1 1
FIRST c4- G1 R1 6
SECOND e4+ R1 Y1 1
FIRST c4+ B1 G1 6
SECOND b6- B3 R4 1
FIRST f4- B1 B4 5
SECOND e5- R4 Y3 1
FIRST f4+ G1 X0 5
SECOND f5- G3 X0 1
FIRST e5+ Y4 X0 4
SECOND a6- Y2 X0 0
FIRST c6- Y1 X0 4
SECOND a6+ Y1 X0 0
FIRST b6+ R1 X0 3
SECOND f6- Y3 X0 0
FIRST e6+ B4 X0 3
SECOND f5+ Y3 X0 0
FINISH
SCOREFIRST 224
SCORESECOND 242
