[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y4 Y2 B4 Y4 R1 B4 Y3 G1 R1 G4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y4 Y1 1630
SECOND d3+ Y3 Y4 3
FIRST e2+ Y4 B4 7
SECOND d3- Y4 B3 3
FIRST f2- B4 R4 6
SECOND f2+ B3 R2 3
FIRST e2- B4 R2 8
SECOND f3- B4 R3 2
FIRST d2+ R4 R1 8
SECOND d2- R1 R1 3
FIRST d1+ R1 G4 8
SECOND c2+ R2 R4 3
FIRST e3+ G4 G4 8
SECOND c2- R3 G4 2
FIRST e1+ G4 B3 7
SECOND b2+ R1 R3 2
FIRST e1- Y1 G3 7
SECOND b3- R4 B2 2
FIRST c1+ G3 B2 12
SECOND b3+ R3 R2 5
FIRST c1- B3 G1 9
SECOND c3- R2 R4 2
FIRST b2- G1 Y2 8
SECOND b4- R4 G2 2
FIRST b1+ R1 B2 7
SECOND f1+ B2 Y3 2
FIRST f1- Y2 G1 8
SECOND e4- G1 B4 1
FIRST a2+ G1 G2 8
SECOND a3- G4 Y2 1
FIRST b4+ B2 R4 7
SECOND a3+ G2 B3 1
FIRST c4- B2 G2 8
SECOND a2- G4 G3 1
FIRST b5- G2 B3 7
SECOND a1+ G3 Y2 1
FIRST b5+ G2 Y1 7
SECOND c4+ B4 B1 1
FIRST c5- Y2 B1 7
SECOND c5+ Y3 B2 1
FIRST a5+ R2 Y3 6
SECOND d5- Y2 B1 1
FIRST b1- Y1 R2 6
SECOND c6- Y2 G2 1
FIRST a6- R2 B1 6
SECOND e4+ G2 Y4 1
FIRST d4+ B1 Y3 6
SECOND d5+ Y4 Y1 1
FIRST d6- R4 G3 5
SECOND e5- Y1 G3 0
FIRST e5+ B1 R3 5
SECOND f4- G3 Y1 0
FIRST f4+ B3 R3 5
SECOND b6+ Y1 G1 0
FIRST f5- G3 X0 4
SECOND b6- G1 X0 0
FIRST f5+ Y3 X0 4
SECOND e6- B3 X0 0
FIRST f6- R3 X0 3
SECOND d6+ B1 X0 0
FIRST e6+ R3 X0 3
SECOND a4+ B2 X0 0
FIRST a6+ Y3 X0 3
SECOND a5- B1 X0 0
FINISH
SCOREFIRST 264
SCORESECOND 286
