[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT Y4 R4 Y3 R2 G3 R2 Y2 Y3 Y1 B2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R2 G3 1660
SECOND d3+ R2 G1 3
FIRST a3+ R4 Y1 8
SECOND a3- Y2 R4 3
FIRST b3- Y4 B4 8
SECOND d3- R4 R1 2
FIRST b3+ B4 G1 9
SECOND d2+ R1 R1 2
FIRST e2- Y1 R3 7
SECOND e3+ R1 R3 3
FIRST e4- G1 R4 9
SECOND d2- R3 G4 2
FIRST c2+ G3 B2 8
SECOND b2+ Y3 B3 2
FIRST c2- R3 Y3 9
SECOND b2- Y1 B1 2
FIRST c3- G3 B3 9
SECOND b4- B2 B4 2
FIRST c1+ Y3 Y4 8
SECOND b4+ B3 R4 2
FIRST d1+ Y3 R2 8
SECOND e2+ R4 Y1 2
FIRST c1- B3 Y2 8
SECOND a2+ Y1 B3 2
FIRST f2- Y4 G2 7
SECOND b5- B1 G4 2
FIRST f2+ R4 Y1 8
SECOND a4+ B4 G3 2
FIRST e4+ Y1 B1 9
SECOND b5+ B3 R2 2
FIRST a2- B1 G1 8
SECOND f3- R2 G3 2
FIRST d4+ G1 R1 8
SECOND d5- G4 Y4 1
FIRST e5- R1 B2 8
SECOND b1+ Y4 Y3 1
FIRST c6- B2 G4 7
SECOND b1- Y3 Y2 1
FIRST c5+ R2 B4 6
SECOND a1+ Y2 B1 1
FIRST f1+ G4 G4 6
SECOND c4- B1 R3 1
FIRST c5- G2 Y2 6
SECOND d5+ G3 Y4 1
FIRST f1- B4 G2 6
SECOND d6- G1 B2 1
FIRST b6+ Y2 R3 6
SECOND a5+ B2 G1 1
FIRST e1- R3 R1 5
SECOND d6+ G4 B4 1
FIRST b6- G2 B3 5
SECOND a5- B4 G2 1
FIRST e1+ B3 B1 6
SECOND e6- G3 G2 1
FIRST a6+ Y2 X0 4
SECOND e5+ G2 X0 0
FIRST a6- B2 X0 4
SECOND f5- G1 X0 0
FIRST f4- R1 X0 3
SECOND f4+ G2 X0 0
FIRST f5+ B1 X0 3
SECOND c4+ R3 X0 0
FIRST f6- G4 X0 3
SECOND e6+ Y4 X0 0
FINISH
SCOREFIRST 282
SCORESECOND 376
