[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R3 R2 R3 R1 G3 R2 B4 R2 B4 Y2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R1 R1 1776
SECOND d3+ R2 Y4 4
FIRST d3- R2 G3 10
SECOND e3+ R2 G4 2
FIRST a1+ R3 B4 8
SECOND a2- B4 G1 2
FIRST b1- G3 Y4 7
SECOND b1+ G4 G4 2
FIRST b2- B4 Y2 7
SECOND a2+ B4 R1 2
FIRST a3- Y4 G2 7
SECOND d2+ R1 R3 2
FIRST e4- Y2 B2 7
SECOND d2- R3 G1 2
FIRST e4+ G2 Y1 7
SECOND c1- G1 B2 2
FIRST c2+ G3 Y3 7
SECOND b2+ B2 Y3 2
FIRST f3- B2 R4 7
SECOND c1+ G4 B2 2
FIRST a3+ R4 R2 7
SECOND c2- G1 B3 2
FIRST d4+ R2 B1 8
SECOND b3- B3 Y3 2
FIRST c3- R3 Y2 8
SECOND b3+ B2 B1 1
FIRST d5- Y2 Y3 7
SECOND b4- B1 G2 1
FIRST b4+ Y1 B4 8
SECOND d5+ Y4 Y1 1
FIRST d1+ Y3 B3 8
SECOND d6- Y2 R1 1
FIRST e1- B3 G4 7
SECOND e2- R1 R4 1
FIRST e2+ B1 G2 7
SECOND e1+ R4 Y1 1
FIRST c5+ G2 R4 8
SECOND d6+ Y3 R3 1
FIRST f2- R1 Y4 8
SECOND f1- R3 G3 1
FIRST f1+ Y3 B1 7
SECOND e5- Y3 R4 1
FIRST b5- B1 B2 6
SECOND e5+ Y1 B1 1
FIRST f4- B2 G1 7
SECOND e6- Y1 G3 1
FIRST c4- G1 G4 6
SECOND a4+ B1 B3 1
FIRST c6- G4 G1 6
SECOND a5- B3 Y2 1
FIRST a5+ G1 Y1 6
SECOND f5- Y2 Y4 1
FIRST a6- Y1 B3 6
SECOND f4+ Y4 G2 1
FIRST b6+ R4 X0 5
SECOND c5- G3 X0 0
FIRST b6- Y4 X0 4
SECOND c4+ G2 X0 0
FIRST a6+ B4 X0 4
SECOND b5+ G2 X0 0
FIRST e6+ B3 X0 3
SECOND f2+ R4 X0 0
FIRST f6- G4 X0 3
SECOND f5+ G3 X0 0
FINISH
SCOREFIRST 252
SCORESECOND 344
