[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "0-1"]
INIT R3 Y3 R3 Y1 B1 B1 R4 R3 Y3 B3
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- Y1 R1 1803
SECOND d3+ Y3 B2 4
FIRST d3- Y3 G4 8
SECOND d2- B1 R3 3
FIRST d2+ B1 G4 8
SECOND c2+ B3 R2 2
FIRST c3- R3 G3 7
SECOND c2- B2 G4 2
FIRST b3+ G3 Y4 7
SECOND b3- G4 Y4 2
FIRST b4- R3 Y2 7
SECOND e3+ Y4 R4 2
FIRST e2+ R1 G2 7
SECOND b4+ R4 Y2 2
FIRST a3+ G4 B2 7
SECOND e4- Y2 Y1 2
FIRST e4+ G2 G3 8
SECOND d4+ Y1 R1 2
FIRST a3- Y4 B2 8
SECOND b5- R3 G2 2
FIRST a2+ G4 Y1 7
SECOND a4+ R2 G1 2
FIRST e2- Y1 R2 7
SECOND a5+ R4 G4 2
FIRST b2+ Y2 R4 8
SECOND a5- R3 B4 2
FIRST b2- B2 Y3 8
SECOND c4- R1 Y1 1
FIRST f4- B2 B3 7
SECOND f3- Y1 R2 1
FIRST a2- R4 B3 8
SECOND c4+ R2 G3 2
FIRST b1+ R2 Y2 8
SECOND c1+ B4 B1 1
FIRST b1- Y2 Y4 8
SECOND c1- B1 Y2 1
FIRST a1+ Y4 G2 7
SECOND d5- Y2 G2 1
FIRST b5+ B3 G1 7
SECOND e5- G1 Y3 1
FIRST d1+ G1 R2 7
SECOND d5+ Y3 G1 1
FIRST b6- G3 B1 7
SECOND e5+ G2 R1 1
FIRST e1- B1 G1 6
SECOND c5- R1 B3 1
FIRST e1+ G1 R4 6
SECOND e6- G4 Y4 1
FIRST f4+ R2 B4 6
SECOND c5+ Y4 B2 1
FIRST f5- G2 B4 6
SECOND d6+ G3 B4 1
FIRST d6- B3 R1 5
SECOND e6+ G2 G3 0
FIRST f1- R1 X0 5
SECOND f5+ G1 X0 0
FIRST c6- R4 X0 4
SECOND f6- G3 X0 0
FIRST b6+ B4 X0 3
SECOND a6- B3 X0 0
FIRST a6+ Y3 X0 3
SECOND f2- B2 X0 0
FIRST f2+ B4 X0 3
SECOND f1+ B4 X0 0
FINISH
SCOREFIRST 262
SCORESECOND 342
