[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT G1 R1 G1 R2 B3 B1 B2 B1 Y4 Y4
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R2 G3 1743
SECOND d2- B1 G1 3
FIRST d1+ G1 G2 6
SECOND c2+ B2 Y3 2
FIRST e1- G1 R3 7
SECOND c2- B1 Y2 4
FIRST d3+ G2 B4 9
SECOND e1+ G1 B4 4
FIRST d2+ R1 G3 9
SECOND c3- B4 B3 2
FIRST a1+ B3 G4 9
SECOND b3+ B3 R2 2
FIRST b4- R3 R3 8
SECOND b4+ R2 R3 2
FIRST b1- G3 Y4 8
SECOND c4- R3 Y1 2
FIRST b3- G3 B1 8
SECOND a2- Y4 R3 2
FIRST e2- B1 Y1 8
SECOND b5- R3 G1 2
FIRST d3- Y1 Y4 8
SECOND f1- G1 B3 2
FIRST a3+ R3 B4 8
SECOND c1+ B3 B4 2
FIRST a2+ B4 R1 8
SECOND b2+ B4 R2 2
FIRST f1+ R1 Y3 8
SECOND c4+ R2 G4 1
FIRST b2- G4 Y1 8
SECOND b1+ G4 R1 1
FIRST e2+ Y1 B1 7
SECOND c5- R1 G2 1
FIRST f2- B1 B2 9
SECOND c1- G2 G3 1
FIRST a3- Y4 B2 8
SECOND d4+ Y4 Y2 1
FIRST a4+ Y3 R2 7
SECOND d5- Y3 R4 1
FIRST e4- B4 Y3 7
SECOND b5+ R4 Y3 1
FIRST a5- Y3 R4 8
SECOND d5+ Y2 R1 1
FIRST e3+ Y4 Y2 7
SECOND a5+ R1 Y1 1
FIRST e4+ R4 Y2 8
SECOND e5- Y1 B2 1
FIRST d6- B2 B3 6
SECOND c5+ Y2 R4 1
FIRST c6- B2 G4 6
SECOND a6- R4 G4 1
FIRST d6+ Y2 G2 6
SECOND e5+ Y3 G2 1
FIRST f3- G4 R4 5
SECOND e6- Y1 G3 0
FIRST f2+ R4 X0 5
SECOND b6+ B2 X0 0
FIRST f5- B3 X0 4
SECOND b6- G3 X0 0
FIRST e6+ R2 X0 4
SECOND a6+ G2 X0 0
FIRST f6- G2 X0 4
SECOND f5+ G4 X0 0
FIRST f4- Y2 X0 3
SECOND f4+ G3 X0 0
FINISH
SCOREFIRST 288
SCORESECOND 266
