[FIRST "COMMAND: python player_ppo.py P1"]
[SECOND "COMMAND: python strong.py P2"]
[RESULT "1-0"]
INIT R1 Y2 B4 R3 B3 Y4 G4 G4 B1 G2
# Debug FIRST: C:\Users\SOGANG\Desktop\제출파일\test\sample\player_ppo.py:139: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
# Debug FIRST:   try: model.load_state_dict(torch.load(model_path, map_location=device))
FIRST e3- R3 R3 1807
SECOND d2- Y4 G2 3
FIRST d3+ B3 B4 7
SECOND d3- B1 Y3 3
FIRST c2+ B4 Y4 8
SECOND d2+ Y3 R2 3
FIRST e2- R3 G3 8
SECOND e2+ R2 Y3 3
FIRST c2- B4 R1 8
SECOND d1+ Y3 R3 2
FIRST c1+ Y4 B2 7
SECOND f2- R3 R1 3
FIRST f2+ G3 B1 9
SECOND e3+ R1 G1 2
FIRST e4- B1 B2 7
SECOND f3- G4 B3 2
FIRST e4+ R1 R2 7
SECOND c3- B3 R2 2
FIRST f4- R1 G2 8
SECOND e1+ R2 G3 1
FIRST f1- G2 R2 7
SECOND f1+ G4 Y1 2
FIRST e1- B2 G4 7
SECOND c1- Y1 B1 1
FIRST b2+ G4 Y3 8
SECOND b3+ B1 R4 1
FIRST c5- B2 Y2 7
SECOND e5- R4 Y2 1
FIRST b5+ R2 Y1 7
SECOND b1+ Y2 B4 1
FIRST b5- Y2 B3 7
SECOND b4- B4 R1 1
FIRST b4+ R2 B1 7
SECOND d5+ R1 Y4 1
FIRST b6- Y2 R4 7
SECOND b1- Y4 Y1 1
FIRST f4+ B1 G3 6
SECOND b2- Y1 R3 1
FIRST d4+ Y1 Y3 6
SECOND d5- R3 G1 1
FIRST b3- R4 G4 6
SECOND a1+ G2 B3 1
FIRST a3+ G4 G1 6
SECOND a4+ B3 G3 1
FIRST f5- G1 Y1 6
SECOND a2- G1 B2 1
FIRST e5+ Y1 Y4 6
SECOND a5- B2 B2 1
FIRST a3- Y4 G1 6
SECOND a5+ B2 Y2 1
FIRST e6- G1 G2 5
SECOND a2+ Y2 R4 0
FIRST a6- G2 R4 5
SECOND c5+ R4 B4 0
FIRST c4- Y3 X0 4
SECOND d6+ G2 X0 0
FIRST c4+ B3 X0 3
SECOND d6- G3 X0 0
FIRST b6+ G3 X0 3
SECOND e6+ G3 X0 0
FIRST c6- Y3 X0 3
SECOND f6- G1 X0 0
FIRST a6+ R4 X0 3
SECOND f5+ B4 X0 0
FINISH
SCOREFIRST 264
SCORESECOND 258
